Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-12-04,CSBBANK,EQ,195.0,275.0,306.8,275.0,300.35,300.05,295.26,37124674,1096148636415000.0,454542,9933567,0.2676
2019-12-05,CSBBANK,EQ,300.05,303.9,313.5,294.0,298.8,297.6,303.32,7896739,239525580015000.0,127607,1398670,0.1771
2019-12-06,CSBBANK,EQ,297.6,297.85,297.85,267.25,274.25,274.3,277.23,5530725,153326388345000.0,94265,908983,0.16440000000000002
2019-12-09,CSBBANK,EQ,274.3,270.0,277.0,262.0,270.0,269.25,269.99,2573011,69467577045000.01,52699,499671,0.1942
2019-12-10,CSBBANK,EQ,269.25,266.65,271.0,258.15,259.1,259.45,264.2,1177652,31113750810000.004,34140,273034,0.2318
2019-12-11,CSBBANK,EQ,259.45,256.0,258.75,238.1,239.3,240.7,246.93,2763231,68233794915000.0,52780,552571,0.2
2019-12-12,CSBBANK,EQ,240.7,241.0,243.8,216.5,223.25,222.9,227.78,4606237,104920963980000.0,105863,776825,0.1686
2019-12-13,CSBBANK,EQ,222.9,220.15,239.0,218.5,236.6,235.7,229.74,5067316,116416837150000.0,82333,568676,0.11220000000000001
2019-12-16,CSBBANK,EQ,235.7,236.8,244.4,228.0,243.9,240.5,235.02,2294567,53927251704999.99,47952,350094,0.1526
2019-12-17,CSBBANK,EQ,240.5,243.0,249.75,240.0,243.85,245.65,246.0,1704620,41932979545000.0,40266,367226,0.2154
2019-12-18,CSBBANK,EQ,245.65,245.0,245.0,237.35,240.0,239.8,240.47,856066,20585558645000.0,30543,217960,0.2546
2019-12-19,CSBBANK,EQ,239.8,236.5,242.0,234.65,238.2,238.6,237.99,534437,12719008015000.0,12398,93731,0.1754
2019-12-20,CSBBANK,EQ,238.6,239.0,244.9,237.05,243.0,241.95,242.08,465629,11271964915000.0,12819,105448,0.22649999999999998
2019-12-23,CSBBANK,EQ,241.95,241.0,243.25,239.0,240.05,240.2,240.39,386104,9281647070000.0,6824,182148,0.4718
2019-12-24,CSBBANK,EQ,240.2,242.0,242.45,235.8,237.5,237.05,238.96,319736,7640510430000.0,7505,115387,0.36090000000000005
2019-12-26,CSBBANK,EQ,237.05,237.5,239.05,230.5,231.0,231.7,233.79,230536,5389628455000.0,4259,64097,0.278
2019-12-27,CSBBANK,EQ,231.7,232.2,235.75,229.0,229.0,230.75,232.81,216093,5030943060000.0,4579,53730,0.2486
2019-12-30,CSBBANK,EQ,230.75,230.6,233.45,224.0,224.85,224.75,226.91,370598,8409129095000.0,12538,118414,0.3195
2019-12-31,CSBBANK,EQ,224.75,224.0,225.8,215.15,215.6,216.45,219.27,580382,12725809580000.0,17041,251632,0.4336
2020-01-01,CSBBANK,EQ,216.45,215.0,218.75,206.2,207.0,206.9,210.28,873909,18376815960000.0,13863,305216,0.3493
2020-01-02,CSBBANK,EQ,206.9,206.5,217.95,206.5,211.2,211.3,212.73,1329504,28281909210000.004,19730,364975,0.2745
2020-01-03,CSBBANK,EQ,211.3,211.3,211.3,206.3,208.2,208.05,208.33,538331,11215119345000.0,13149,159154,0.2956
2020-01-06,CSBBANK,EQ,208.05,206.1,207.0,198.3,198.5,199.9,201.09,582365,11710993815000.0,16939,195174,0.3351
2020-01-07,CSBBANK,EQ,199.9,201.9,209.9,201.5,207.3,207.85,205.5,733142,15066383744999.998,14097,201861,0.27530000000000004
2020-01-08,CSBBANK,EQ,207.85,204.0,206.3,200.55,202.8,203.85,203.5,378647,7705386770000.0,6154,84471,0.2231
2020-01-09,CSBBANK,EQ,203.85,207.0,208.25,203.1,203.4,204.1,205.71,298193,6134183930000.0,7052,115617,0.38770000000000004
2020-01-10,CSBBANK,EQ,204.1,205.0,206.4,200.55,201.0,201.55,203.01,312393,6341744955000.0,6785,124546,0.3987
2020-01-13,CSBBANK,EQ,201.55,203.5,204.0,197.05,197.9,197.85,199.46,393382,7846572605000.0,7450,182867,0.46490000000000004
2020-01-14,CSBBANK,EQ,197.85,200.0,200.0,192.25,192.95,192.95,195.25,590178,11523272170000.0,17923,308000,0.5219
2020-01-15,CSBBANK,EQ,192.95,198.75,202.0,192.85,193.7,195.55,196.81,2377078,46783816650000.0,47589,1168063,0.4914
2020-01-16,CSBBANK,EQ,195.55,194.0,198.8,192.75,193.25,193.3,195.47,821724,16062075575000.0,11945,284453,0.3462
2020-01-17,CSBBANK,EQ,193.3,194.4,205.0,192.25,202.9,201.6,201.33,2193648,44165442185000.0,23422,736500,0.3357
2020-01-20,CSBBANK,EQ,201.6,202.7,203.7,195.5,198.75,197.6,198.06,563504,11160650595000.0,7349,220447,0.3912
2020-01-21,CSBBANK,EQ,197.6,196.5,199.3,195.3,195.5,196.05,196.93,260984,5139501330000.0,3880,84671,0.32439999999999997
2020-01-22,CSBBANK,EQ,196.05,197.8,200.4,195.4,195.7,195.85,197.41,358051,7068278255000.0,4818,92917,0.2595
2020-01-23,CSBBANK,EQ,195.85,196.95,198.2,194.65,196.5,196.15,196.24,280219,5499047245000.0,3852,91615,0.32689999999999997
2020-01-24,CSBBANK,EQ,196.15,196.15,202.35,195.65,198.8,199.35,199.41,460315,9179149645000.0,6299,178324,0.3874
2020-01-27,CSBBANK,EQ,199.35,198.0,202.75,196.1,197.0,196.75,199.21,300923,5994604185000.0,7278,109708,0.36460000000000004
2020-01-28,CSBBANK,EQ,196.75,196.75,198.75,194.25,194.7,194.75,196.28,165244,3243434465000.0,3143,73502,0.4448
2020-01-29,CSBBANK,EQ,194.75,196.6,197.0,190.0,192.0,193.0,194.34,176308,3426301265000.0,3184,79726,0.4522
2020-01-30,CSBBANK,EQ,193.0,193.0,193.35,186.1,186.6,186.7,188.94,288896,5458258030000.0,5013,136916,0.4739
2020-01-31,CSBBANK,EQ,186.7,186.6,188.3,181.0,182.5,183.95,184.01,409639,7537623680000.0,8630,193180,0.47159999999999996
2020-02-01,CSBBANK,EQ,183.95,183.75,192.3,182.0,184.1,184.9,188.2,428149,8057766445000.0,6886,154665,0.36119999999999997
2020-02-03,CSBBANK,EQ,184.9,184.1,188.95,180.45,182.95,182.1,183.64,302371,5552662470000.0,16184,126356,0.4179
