Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-11-19,SUBEXLTD,EQ,19.3,20.0,22.65,20.0,20.8,21.25,21.45,11904616,25536856175000.0,18800,6667874,0.5601
2020-11-20,SUBEXLTD,EQ,21.25,21.4,21.55,19.35,19.8,19.85,20.34,5626106,11443240320000.0,8522,3572498,0.635
2020-11-23,SUBEXLTD,EQ,19.85,20.15,21.0,19.5,20.1,19.95,20.05,2623437,5260880375000.0,5873,1682006,0.6411
2020-11-24,SUBEXLTD,EQ,19.95,19.8,20.65,18.9,19.0,19.0,19.4,3246914,6299752785000.0,4501,2181230,0.6718000000000001
2020-11-25,SUBEXLTD,EQ,19.0,19.25,19.25,17.75,18.5,18.45,18.37,4866175,8937934505000.0,6729,2805546,0.5765
2020-11-26,SUBEXLTD,EQ,18.45,18.25,20.7,18.25,19.9,19.9,19.92,8557709,17048345260000.0,11678,3756690,0.439
2020-11-27,SUBEXLTD,EQ,19.9,20.2,23.5,20.2,22.55,22.75,22.11,14323693,31672608995000.0,22187,6660944,0.465
2020-12-01,SUBEXLTD,EQ,22.75,23.5,27.3,23.5,27.3,27.3,26.14,29013954,75855917875000.0,35320,15344239,0.5289
2020-12-02,SUBEXLTD,EQ,27.3,28.3,32.75,27.5,30.8,31.1,30.95,54881845,169882555185000.0,76843,16322772,0.2974
2020-12-03,SUBEXLTD,EQ,31.1,31.9,32.7,28.0,28.45,28.15,30.47,25389686,77360111280000.0,43807,10853351,0.4275
2020-12-04,SUBEXLTD,EQ,28.15,29.0,30.95,27.0,30.6,30.45,29.07,22889755,66538376310000.0,38810,8119366,0.3547
2020-12-07,SUBEXLTD,EQ,30.45,31.0,32.5,30.6,32.3,32.25,31.87,14143464,45073955070000.0,27630,7436536,0.5258
2020-12-08,SUBEXLTD,EQ,32.25,33.0,35.0,31.6,32.2,32.3,33.29,18527454,61683251954999.99,39879,8590774,0.4637
2020-12-09,SUBEXLTD,EQ,32.3,32.6,33.0,29.75,30.15,30.1,30.64,17406944,53337365340000.0,34502,9465334,0.5438000000000001
2020-12-10,SUBEXLTD,EQ,30.1,29.9,31.4,27.8,30.8,30.65,29.69,14633598,43441547885000.0,34530,6055372,0.41380000000000006
2020-12-11,SUBEXLTD,EQ,30.65,31.0,31.6,29.65,30.0,29.85,30.58,8564937,26188877830000.0,18803,4444990,0.519
2020-12-14,SUBEXLTD,EQ,29.85,29.5,30.85,28.8,29.05,29.1,29.53,6466769,19093699440000.0,17381,3306881,0.5114
2020-12-15,SUBEXLTD,EQ,29.1,29.15,30.15,27.95,29.35,29.45,29.03,8670190,25171329790000.0,20413,3190909,0.368
2020-12-16,SUBEXLTD,EQ,29.45,29.75,30.85,29.3,29.45,29.55,30.03,5000919,15019464075000.0,10793,2292535,0.45840000000000003
2020-12-17,SUBEXLTD,EQ,29.55,29.9,30.3,28.55,28.85,28.9,29.51,6853664,20223669590000.0,13300,2623575,0.38280000000000003
2020-12-18,SUBEXLTD,EQ,28.9,29.25,29.75,28.2,28.8,28.8,28.95,5704017,16514097350000.0,12644,2200086,0.3857
2020-12-21,SUBEXLTD,EQ,28.8,28.9,29.1,25.95,25.95,26.0,27.28,7385487,20147830245000.0,15776,4568610,0.6186
2020-12-22,SUBEXLTD,EQ,26.0,25.0,26.5,23.55,26.1,26.05,24.97,12030605,30045807650000.0,23246,4599552,0.3823
2020-12-23,SUBEXLTD,EQ,26.05,26.4,28.65,26.25,28.65,28.65,27.96,5626878,15734228800000.0,9287,3377620,0.6003000000000001
2020-12-24,SUBEXLTD,EQ,28.65,31.3,31.3,28.9,29.7,29.7,30.12,9069458,27313780930000.0,19089,4800119,0.5293
