Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-11-07,PNBHOUSING,EQ,775.0,860.0,904.0,860.0,890.0,891.15,883.92,33028250,2919432036870000.0,678686,15037264,0.45530000000000004
2016-11-08,PNBHOUSING,EQ,891.15,897.0,987.9,896.0,986.0,977.95,951.84,11177092,1063878594165000.0,190748,2338894,0.2093
2016-11-09,PNBHOUSING,EQ,977.95,852.0,948.7,812.2,924.0,922.2,898.91,3674905,330339055310000.0,72410,1008799,0.2745
2016-11-10,PNBHOUSING,EQ,922.2,945.0,974.4,905.0,928.0,933.1,941.49,2047064,192729535665000.0,53624,553366,0.27030000000000004
2016-11-11,PNBHOUSING,EQ,933.1,911.7,947.9,908.2,923.7,928.9,929.63,1486727,138210966055000.0,31089,753594,0.5069
2016-11-15,PNBHOUSING,EQ,928.9,925.0,925.0,798.0,804.65,808.8,846.66,1525700,129175626790000.02,42867,682042,0.44700000000000006
2016-11-16,PNBHOUSING,EQ,808.8,851.1,864.8,791.75,799.0,797.7,812.43,1816031,147539151930000.0,55108,636893,0.3507
2016-11-17,PNBHOUSING,EQ,797.7,807.25,815.3,796.5,810.0,809.1,807.26,644793,52051717310000.0,22666,259923,0.4031
2016-11-18,PNBHOUSING,EQ,809.1,814.0,826.0,802.7,812.35,813.9,816.7,428795,35019788900000.0,12882,115047,0.2683
2016-11-21,PNBHOUSING,EQ,813.9,816.0,816.85,793.3,799.75,799.6,801.14,440349,35278031735000.0,21162,287511,0.6529
2016-11-22,PNBHOUSING,EQ,799.6,805.0,813.9,796.35,808.0,808.25,804.77,384137,30914323630000.0,13909,230936,0.6012
2016-11-23,PNBHOUSING,EQ,808.25,815.0,832.0,796.5,820.0,824.4,816.72,415021,33895598455000.0,11282,166273,0.4006
2016-11-24,PNBHOUSING,EQ,824.4,815.0,822.35,807.55,815.0,811.3,814.32,166715,13575992365000.0,5315,58712,0.3522
2016-11-25,PNBHOUSING,EQ,811.3,813.0,887.0,811.25,865.0,869.45,854.54,1141424,97539779915000.0,33106,405769,0.3555
2016-11-28,PNBHOUSING,EQ,869.45,859.9,864.0,841.7,847.0,847.75,851.84,319524,27218246950000.0,9571,144734,0.45299999999999996
2016-11-29,PNBHOUSING,EQ,847.75,854.85,903.0,851.0,895.75,892.4,883.16,857796,75757400150000.0,24881,307328,0.3583
2016-11-30,PNBHOUSING,EQ,892.4,898.1,922.0,896.5,904.0,906.85,909.35,385650,35069261635000.004,12815,75893,0.1968
2016-12-01,PNBHOUSING,EQ,906.85,913.0,920.0,901.0,907.5,906.0,909.49,389816,35453221080000.0,8406,216855,0.5563
2016-12-02,PNBHOUSING,EQ,906.0,902.0,914.9,890.0,907.05,906.45,902.67,233893,21112826185000.0,7894,80804,0.3455
2016-12-05,PNBHOUSING,EQ,906.45,900.0,905.75,845.0,855.8,854.65,867.73,1316337,114222506490000.02,34850,954604,0.7252
2016-12-06,PNBHOUSING,EQ,854.65,860.0,873.0,859.95,866.0,865.65,867.68,496977,43121789425000.0,17096,277973,0.5593
2016-12-07,PNBHOUSING,EQ,865.65,871.05,877.4,852.0,858.0,860.15,863.44,801131,69173025320000.01,26222,622631,0.7772
2016-12-08,PNBHOUSING,EQ,860.15,864.5,898.8,861.95,890.35,891.8,880.8,437545,38539122935000.0,17133,194838,0.44530000000000003
2016-12-09,PNBHOUSING,EQ,891.8,892.0,895.4,868.55,872.05,875.7,875.66,383676,33597036155000.0,9450,296959,0.774
2016-12-12,PNBHOUSING,EQ,875.7,863.25,873.3,851.0,851.9,854.65,859.0,137695,11827987070000.0,8409,89993,0.6536
2016-12-13,PNBHOUSING,EQ,854.65,854.95,869.0,851.35,854.9,856.0,860.57,202170,17398148855000.002,9288,138306,0.6840999999999999
2016-12-14,PNBHOUSING,EQ,856.0,857.45,864.5,850.55,851.6,852.45,858.94,294155,25266231790000.0,5350,246763,0.8389
2016-12-15,PNBHOUSING,EQ,852.45,852.0,860.0,850.0,858.1,857.9,856.39,234265,20062206485000.0,12168,149030,0.6362
2016-12-16,PNBHOUSING,EQ,857.9,862.25,874.6,853.3,870.0,870.0,862.67,573841,49503448720000.0,15995,423780,0.7384999999999999
2016-12-19,PNBHOUSING,EQ,870.0,863.4,883.4,856.35,870.15,868.05,868.95,118349,10283911845000.0,6270,36807,0.311
2016-12-20,PNBHOUSING,EQ,868.05,873.0,879.0,846.15,849.5,856.85,862.72,246534,21268906895000.0,13610,173257,0.7028
2016-12-21,PNBHOUSING,EQ,856.85,855.0,885.0,835.55,880.0,877.25,867.48,272623,23649415725000.0,12719,102794,0.3771
2016-12-22,PNBHOUSING,EQ,877.25,878.0,878.0,837.55,840.05,840.7,849.78,126205,10724661445000.0,5275,74255,0.5884
2016-12-23,PNBHOUSING,EQ,840.7,845.0,852.95,831.2,834.0,836.65,843.02,100586,8479584009999.999,6035,45087,0.4482
2016-12-26,PNBHOUSING,EQ,836.65,832.0,841.7,807.05,810.2,810.5,818.23,205665,16828167690000.0,9613,128955,0.627
2016-12-27,PNBHOUSING,EQ,810.5,815.0,836.1,815.0,832.1,830.35,828.01,120896,10010251075000.0,8380,68413,0.5659000000000001
2016-12-28,PNBHOUSING,EQ,830.35,833.0,841.95,825.0,825.0,826.65,835.72,83260,6958205059999.999,4272,39823,0.4783
2016-12-29,PNBHOUSING,EQ,826.65,826.0,834.45,822.0,829.0,829.4,828.89,33398,2768339320000.0,2471,14602,0.4372
2016-12-30,PNBHOUSING,EQ,829.4,829.4,857.7,829.4,835.15,840.1,843.76,144394,12183321075000.0,8086,58800,0.4072
2017-01-02,PNBHOUSING,EQ,840.1,847.0,854.0,825.75,832.0,832.6,836.55,124507,10415616380000.0,8542,50604,0.40640000000000004
2017-01-03,PNBHOUSING,EQ,832.6,834.95,839.7,828.0,831.0,830.45,833.52,360636,30059788330000.0,3812,248992,0.6904000000000001
2017-01-04,PNBHOUSING,EQ,830.45,837.0,839.0,815.35,817.9,817.35,825.77,74419,6145263835000.0,2822,43628,0.5861999999999999
2017-01-05,PNBHOUSING,EQ,817.35,820.1,837.0,819.85,821.95,821.05,825.47,145394,12001785670000.0,5545,85351,0.5870000000000001
2017-01-06,PNBHOUSING,EQ,821.05,825.75,825.75,810.0,813.0,813.1,817.34,74414,6082180145000.0,3103,36520,0.4908
2017-01-09,PNBHOUSING,EQ,813.1,818.95,821.0,812.0,815.0,814.55,816.14,51720,4221085135000.0,2024,28788,0.5566
2017-01-10,PNBHOUSING,EQ,814.55,813.1,819.25,810.0,810.4,810.95,813.62,55122,4484828435000.0,2777,30827,0.5593
2017-01-11,PNBHOUSING,EQ,810.95,812.0,827.7,810.4,811.85,812.15,818.06,264849,21666201935000.0,7623,160597,0.6064
2017-01-12,PNBHOUSING,EQ,812.15,813.1,820.0,810.0,810.95,811.45,815.74,105914,8639788770000.0,4260,66834,0.631
2017-01-13,PNBHOUSING,EQ,811.45,813.0,816.0,806.0,807.1,808.35,809.77,219152,17746165220000.0,4006,183254,0.8362
2017-01-16,PNBHOUSING,EQ,808.35,811.85,814.8,801.0,804.05,803.3,806.48,122601,9887507230000.0,6329,78086,0.6369
2017-01-17,PNBHOUSING,EQ,803.3,810.8,840.5,800.2,826.0,828.0,825.83,318060,26266379065000.0,12773,166228,0.5226
2017-01-18,PNBHOUSING,EQ,828.0,833.0,837.9,825.1,827.0,829.7,831.73,262088,21798733395000.0,11720,182282,0.6955
2017-01-19,PNBHOUSING,EQ,829.7,830.3,839.0,822.2,834.25,832.7,833.1,92005,7664907434999.999,4066,49423,0.5372
2017-01-20,PNBHOUSING,EQ,832.7,833.5,836.8,827.55,827.55,829.25,831.44,138741,11535484545000.0,5865,111662,0.8048000000000001
