Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-09-21,MATRIMONY,EQ,985.0,985.0,1024.0,896.25,899.1,904.65,943.49,3338604,314994343200000.0,124984,569085,0.1705
2017-09-22,MATRIMONY,EQ,904.65,887.8,887.8,801.2,822.0,821.9,829.84,1158347,96124350345000.0,46547,248151,0.21420000000000003
2017-09-25,MATRIMONY,EQ,821.9,816.3,836.9,785.0,797.0,801.4,806.79,382426,30853790930000.0,21133,95751,0.2504
2017-09-26,MATRIMONY,EQ,801.4,797.1,819.4,797.1,802.0,803.15,808.88,137703,11138519110000.0,6672,34844,0.253
2017-09-27,MATRIMONY,EQ,803.15,810.0,817.9,790.0,792.0,792.2,802.62,118476,9509120690000.0,5741,62306,0.5259
2017-09-28,MATRIMONY,EQ,792.2,792.2,800.95,775.55,797.95,791.65,789.65,65955,5208149240000.0,3609,16966,0.2572
2017-09-29,MATRIMONY,EQ,791.65,797.95,810.0,792.0,795.0,795.0,798.45,55982,4469888325000.0,2810,23919,0.42729999999999996
2017-10-03,MATRIMONY,EQ,795.0,800.0,815.0,794.0,805.05,807.5,805.54,84170,6780262645000.0,3641,48144,0.5720000000000001
2017-10-04,MATRIMONY,EQ,807.5,810.0,819.8,805.0,813.6,812.7,812.51,29829,2423640045000.0,1753,11620,0.3896
2017-10-05,MATRIMONY,EQ,812.7,814.95,828.0,810.45,820.7,823.05,819.11,31612,2589383705000.0,1892,17193,0.5439
2017-10-06,MATRIMONY,EQ,823.05,826.9,827.0,814.95,820.0,819.95,820.8,21450,1760615005000.0,1621,10751,0.5012
2017-10-09,MATRIMONY,EQ,819.95,820.0,839.5,810.85,837.5,835.35,830.02,32022,2657903315000.0,2077,15077,0.4708
2017-10-10,MATRIMONY,EQ,835.35,833.55,864.8,833.55,856.0,857.95,853.74,49582,4233003495000.0005,3468,23511,0.4742
2017-10-11,MATRIMONY,EQ,857.95,858.25,870.0,858.25,864.0,865.2,862.4,50993,4397620775000.0,2212,31720,0.622
2017-10-12,MATRIMONY,EQ,865.2,860.0,862.0,852.0,857.0,855.85,856.62,9384,803853045000.0,765,4363,0.46490000000000004
2017-10-13,MATRIMONY,EQ,855.85,858.3,869.0,855.65,859.0,862.5,863.44,16465,1421660885000.0,1130,9705,0.5894
2017-10-16,MATRIMONY,EQ,862.5,861.0,882.4,859.1,873.5,870.55,871.38,18502,1612223615000.0,1971,7938,0.429
2017-10-17,MATRIMONY,EQ,870.55,870.0,880.0,867.05,870.0,870.7,871.06,5806,505735030000.0,766,3428,0.5904
2017-10-18,MATRIMONY,EQ,870.7,870.0,872.75,867.0,872.0,870.05,869.98,7361,640390540000.0,456,5312,0.7216
2017-10-19,MATRIMONY,EQ,870.05,872.0,872.0,830.5,852.0,846.65,852.73,1708,145646715000.0,216,1197,0.7008
2017-10-23,MATRIMONY,EQ,846.65,858.0,874.0,845.0,860.0,863.05,863.56,15200,1312616805000.0,899,8585,0.5648
2017-10-24,MATRIMONY,EQ,863.05,867.1,879.95,863.6,870.0,869.5,870.96,15313,1333705610000.0,821,9435,0.6161
2017-10-25,MATRIMONY,EQ,869.5,864.25,872.0,860.0,870.45,870.15,869.24,12791,1111842535000.0,696,10425,0.8150000000000001
2017-10-26,MATRIMONY,EQ,870.15,859.5,871.9,852.0,852.0,857.25,868.65,14242,1237127395000.0,458,12632,0.887
