Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-04-29,MITTAL,EQ,103.95,104.6,105.95,104.0,104.45,104.4,104.43,19984,208697270000.0,160,2500,0.1251
2020-04-30,MITTAL,EQ,104.4,105.0,105.5,104.6,105.0,104.9,105.06,33856,355674535000.0,219,21162,0.6251
2020-05-04,MITTAL,EQ,104.9,108.85,108.85,105.25,106.0,106.0,105.76,16506,174574980000.0,132,8727,0.5287
2020-05-05,MITTAL,EQ,106.0,106.5,108.0,106.3,107.8,107.55,107.09,39472,422714380000.0,266,12582,0.3188
2020-05-06,MITTAL,EQ,107.55,108.0,109.3,107.75,109.3,109.2,108.82,53977,587403840000.0,372,20105,0.3725
2020-05-07,MITTAL,EQ,109.2,109.7,111.4,109.7,111.0,111.2,110.61,83558,924202619999.9999,587,22857,0.2735
2020-05-08,MITTAL,EQ,111.2,112.0,114.0,111.45,114.0,113.8,112.57,82418,927753080000.0001,614,34082,0.41350000000000003
2020-05-11,MITTAL,EQ,113.8,115.0,116.9,114.2,116.9,116.2,115.52,137317,1586285965000.0,905,45084,0.3283
2020-05-12,MITTAL,EQ,116.2,117.0,118.5,116.5,118.5,118.35,117.69,155488,1829908185000.0002,1205,43083,0.2771
2020-05-13,MITTAL,EQ,118.35,119.0,120.15,118.7,120.15,120.05,119.68,168527,2016903670000.0,2064,53434,0.3171
2020-05-14,MITTAL,EQ,120.05,121.25,121.5,120.2,121.4,121.4,120.89,164567,1989395395000.0,2134,60805,0.36950000000000005
2020-05-15,MITTAL,EQ,121.4,122.0,123.1,121.6,123.0,122.85,122.65,191390,2347417890000.0,1760,57045,0.2981
2020-05-18,MITTAL,EQ,122.85,124.0,128.75,122.9,124.2,125.3,124.03,180623,2240268845000.0,1409,37197,0.2059
2020-05-19,MITTAL,EQ,125.3,125.0,125.0,123.75,124.2,124.2,124.3,146246,1817894464999.9998,1169,30647,0.2096
2020-05-20,MITTAL,EQ,124.2,124.75,125.55,124.65,125.5,125.0,125.23,154871,1939445885000.0002,1033,53562,0.3458
2020-05-21,MITTAL,EQ,125.0,126.0,126.6,125.75,126.6,126.4,126.16,114733,1447497170000.0,880,52103,0.45409999999999995
2020-05-22,MITTAL,EQ,126.4,126.6,127.85,126.6,127.7,127.75,127.37,173334,2207739330000.0,1282,39468,0.2277
2020-05-26,MITTAL,EQ,127.75,128.0,129.45,128.0,128.75,129.0,128.92,197322,2543856960000.0,1318,68088,0.34509999999999996
2020-05-27,MITTAL,EQ,129.0,129.25,130.55,129.25,130.55,130.45,130.11,156938,2041879180000.0,1160,54538,0.34750000000000003
2020-05-28,MITTAL,EQ,130.45,131.5,131.6,130.55,131.5,131.4,131.21,164036,2152302135000.0002,1106,41429,0.25260000000000005
2020-05-29,MITTAL,EQ,131.4,132.0,132.65,131.8,132.65,132.5,132.25,165694,2191373035000.0002,1007,33393,0.20149999999999998
2020-06-01,MITTAL,EQ,132.5,137.7,137.7,133.0,133.8,133.6,133.55,197537,2638137170000.0,1185,59582,0.30160000000000003
2020-06-02,MITTAL,EQ,133.6,136.0,136.0,134.1,135.5,135.35,135.22,283817,3837645615000.0,1531,60530,0.2133
