Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-05-19,HUDCO,EQ,60.0,73.0,77.85,71.0,72.15,72.55,74.42,210956446,1569897405820000.0,582516,89656635,0.425
2017-05-22,HUDCO,EQ,72.55,72.65,73.45,69.65,69.9,70.15,71.58,19233222,137680869809999.98,84297,9272609,0.48210000000000003
2017-05-23,HUDCO,EQ,70.15,69.4,69.9,66.55,68.1,68.15,68.18,14721869,100375132225000.0,70218,6525147,0.44320000000000004
2017-05-24,HUDCO,EQ,68.15,68.5,69.45,66.4,66.7,66.65,67.75,8670873,58745465145000.01,38308,3883677,0.4479
2017-05-25,HUDCO,EQ,66.65,67.1,72.25,66.95,70.95,70.75,69.7,13265189,92457461815000.0,63937,5968591,0.4499
2017-05-26,HUDCO,EQ,70.75,71.0,73.25,70.55,73.15,72.95,72.06,12062826,86928282450000.0,48703,5528993,0.4583
2017-05-29,HUDCO,EQ,72.95,73.25,74.7,72.75,73.25,73.15,73.64,8905003,65577278840000.0,34299,4590213,0.5155
2017-05-30,HUDCO,EQ,73.15,73.25,74.0,71.55,73.1,73.0,73.0,10410782,75995674015000.0,35606,4365672,0.4193
2017-05-31,HUDCO,EQ,73.0,72.55,73.65,71.65,73.65,73.2,72.71,5615107,40829639550000.0,34020,3075509,0.5477000000000001
2017-06-01,HUDCO,EQ,73.2,73.2,74.25,72.5,73.0,73.0,73.2,3673826,26890872935000.004,15930,1685616,0.45880000000000004
2017-06-02,HUDCO,EQ,73.0,73.4,73.6,72.55,73.0,73.0,73.02,3123069,22805096410000.0,16073,1500366,0.4804
2017-06-05,HUDCO,EQ,73.0,73.0,73.3,72.0,72.0,72.2,72.56,1682821,12209865085000.0,17288,947598,0.5631
2017-06-06,HUDCO,EQ,72.2,72.05,72.9,71.3,71.9,71.9,72.0,2086019,15018405665000.0,12378,1071825,0.5138
2017-06-07,HUDCO,EQ,71.9,72.0,72.25,71.3,71.35,71.55,71.74,1284804,9217428050000.0,6577,675971,0.5261
2017-06-08,HUDCO,EQ,71.55,71.6,71.9,69.85,69.95,70.0,70.54,2299141,16217323750000.0,15542,1430997,0.6224000000000001
2017-06-09,HUDCO,EQ,70.0,70.0,70.7,69.7,70.2,70.3,70.22,1635150,11481598135000.0,11709,892037,0.5455
2017-06-12,HUDCO,EQ,70.3,70.1,70.1,68.55,68.8,68.75,69.19,2136002,14778250394999.998,19967,1430213,0.6696
2017-06-13,HUDCO,EQ,68.75,69.25,69.4,68.1,68.15,68.3,68.75,2062007,14176920125000.0,15868,1277123,0.6194
2017-06-14,HUDCO,EQ,68.3,68.5,68.7,68.0,68.2,68.2,68.22,1103623,7529344295000.0,9288,657067,0.5954
2017-06-15,HUDCO,EQ,68.2,68.0,70.7,68.0,69.15,69.05,69.54,2373038,16502880005000.002,17588,997686,0.4204
2017-06-16,HUDCO,EQ,69.05,69.4,69.7,68.35,68.45,68.55,68.89,1394334,9605435790000.0,8772,879462,0.6307
2017-06-19,HUDCO,EQ,68.55,68.1,69.05,67.75,68.0,67.9,68.17,2181687,14872085705000.002,27088,1358340,0.6226
2017-06-20,HUDCO,EQ,67.9,68.1,68.35,67.55,68.0,68.0,67.95,1856784,12617464685000.0,14789,1283048,0.691
2017-06-21,HUDCO,EQ,68.0,67.7,69.0,67.55,68.0,68.05,68.12,1745830,11893296815000.0,7173,909957,0.5212
2017-06-22,HUDCO,EQ,68.05,68.3,68.3,67.8,67.9,68.0,68.04,1433730,9754480425000.0,4904,1021065,0.7122
2017-06-23,HUDCO,EQ,68.0,69.6,70.0,68.25,68.55,68.55,68.87,3423901,23581620745000.0,17110,1493140,0.4361
2017-06-27,HUDCO,EQ,68.55,68.8,68.8,66.55,67.1,66.8,67.2,1902993,12787390580000.0,10720,1324973,0.6962999999999999
2017-06-28,HUDCO,EQ,66.8,67.1,67.2,66.0,66.15,66.1,66.42,1737873,11542211145000.0,9412,1097048,0.6313000000000001
2017-06-29,HUDCO,EQ,66.1,66.4,68.15,66.25,67.8,67.85,67.29,1866113,12557540910000.0,15185,1069529,0.5731
2017-06-30,HUDCO,EQ,67.85,67.15,68.1,66.7,67.2,67.1,67.27,1341896,9026891105000.0,8646,758485,0.5652
2017-07-03,HUDCO,EQ,67.1,67.5,67.9,67.05,67.45,67.45,67.46,1022100,6895571155000.0,10152,535544,0.524
2017-07-04,HUDCO,EQ,67.45,67.25,68.85,67.2,67.35,67.45,67.89,1760410,11951323525000.0,7764,741545,0.42119999999999996
2017-07-05,HUDCO,EQ,67.45,67.5,67.9,67.2,67.75,67.65,67.65,710006,4803466520000.0,4377,362451,0.5105
2017-07-06,HUDCO,EQ,67.65,67.7,70.35,67.65,68.7,68.7,68.77,3817920,26256079285000.0,14032,2144548,0.5617
2017-07-07,HUDCO,EQ,68.7,68.7,69.9,68.3,69.05,69.0,69.31,2144002,14861070435000.0,13457,909334,0.4241
2017-07-10,HUDCO,EQ,69.0,69.4,82.8,69.0,69.55,69.5,69.45,407351,2829043410000.0,2898,266347,0.6539
2017-07-11,HUDCO,EQ,69.5,69.75,79.8,69.6,78.95,78.45,77.33,52983772,409706780340000.0,174164,13790545,0.26030000000000003
2017-07-12,HUDCO,EQ,78.45,81.0,92.65,81.0,90.1,90.05,87.49,104720139,916177287120000.1,277892,20604652,0.1968
2017-07-13,HUDCO,EQ,90.05,92.3,99.75,92.0,97.5,97.7,96.36,100252333,966015117470000.1,292927,15598624,0.15560000000000002
2017-07-14,HUDCO,EQ,97.7,99.2,102.3,88.55,89.7,90.7,94.84,106125913,1006446470954999.9,336037,19643904,0.18510000000000001
2017-07-17,HUDCO,EQ,90.7,90.5,93.9,86.8,89.7,89.65,90.55,50591166,458086993180000.0,180205,8440394,0.1668
2017-07-18,HUDCO,EQ,89.65,88.0,91.5,86.55,86.95,87.0,88.96,18910056,168223708400000.0,72377,4999206,0.2644
2017-07-19,HUDCO,EQ,87.0,87.75,89.15,86.6,87.2,87.2,87.84,10858237,95382777370000.0,42689,3041481,0.2801
2017-07-20,HUDCO,EQ,87.2,87.75,91.45,86.2,90.15,90.25,89.17,29764568,265421553905000.03,94369,5988390,0.20120000000000002
2017-07-21,HUDCO,EQ,90.25,90.75,91.65,87.75,88.75,88.65,89.78,12588587,113018936175000.0,47715,3286340,0.2611
2017-07-24,HUDCO,EQ,88.65,89.1,89.9,87.5,87.8,87.8,88.68,9212165,81689467405000.0,33867,2645562,0.2872
2017-07-25,HUDCO,EQ,87.8,89.0,89.45,86.2,86.35,86.4,87.93,15364923,135105801295000.0,57643,5799210,0.3774
2017-07-26,HUDCO,EQ,86.4,86.75,86.9,83.15,83.35,83.3,84.62,10209823,86399225470000.0,44629,4433849,0.4343
2017-07-27,HUDCO,EQ,83.3,83.75,85.45,82.35,82.85,82.7,83.73,12314817,103109813285000.0,46814,5379357,0.4368
2017-07-28,HUDCO,EQ,82.7,82.2,84.4,80.75,82.95,83.3,82.86,19771547,163831289815000.0,64364,4358705,0.2205
2017-07-31,HUDCO,EQ,83.3,83.4,83.55,81.4,81.6,81.8,82.47,6389486,52692667950000.0,26865,2225566,0.3483
2017-08-01,HUDCO,EQ,81.8,82.05,82.45,80.75,81.0,81.05,81.45,4152813,33826416080000.0,18128,1571328,0.37840000000000007
2017-08-02,HUDCO,EQ,81.05,81.3,83.3,80.8,82.5,82.65,82.4,8086692,66633575820000.01,27829,2052818,0.2539
2017-08-03,HUDCO,EQ,82.65,82.6,83.9,81.15,81.65,81.55,82.48,5682769,46869246500000.0,22227,1555014,0.2736
2017-08-04,HUDCO,EQ,81.55,81.7,81.8,79.55,79.85,79.9,80.3,5373958,43153795705000.0,21340,2199462,0.4093
2017-08-07,HUDCO,EQ,79.9,80.25,84.9,80.15,84.65,84.3,83.47,15749582,131463908830000.0,51039,4893874,0.31070000000000003
2017-08-08,HUDCO,EQ,84.3,84.9,84.9,81.65,82.0,81.85,82.68,5177438,42808806755000.0,21041,1799355,0.34750000000000003
2017-08-09,HUDCO,EQ,81.85,81.15,81.7,80.1,80.85,80.65,80.92,4098213,33162002095000.0,16755,1501635,0.3664
2017-08-10,HUDCO,EQ,80.65,80.5,80.5,75.0,77.2,76.8,78.38,6093546,47760951790000.0,28461,2516503,0.413
2017-08-11,HUDCO,EQ,76.8,75.0,78.35,74.1,77.3,77.25,76.53,6669956,51047332890000.0,30185,2166865,0.3249
2017-08-14,HUDCO,EQ,77.25,78.45,79.4,77.75,78.95,78.6,78.67,3008213,23666712655000.0,15814,1021152,0.3395
2017-08-16,HUDCO,EQ,78.6,79.25,81.3,78.25,80.8,80.8,80.08,6885913,55143348815000.0,23202,2343587,0.3403
2017-08-17,HUDCO,EQ,80.8,81.0,82.9,80.45,81.45,81.55,81.71,4036546,32981063085000.004,16763,1375931,0.34090000000000004
2017-08-18,HUDCO,EQ,81.55,80.3,81.05,79.3,80.15,80.15,80.18,3353101,26886657680000.0,15180,1222911,0.36469999999999997
2017-08-21,HUDCO,EQ,80.15,80.75,82.2,79.55,79.9,79.75,80.97,4238978,34322271500000.0,17591,1245766,0.2939
2017-08-22,HUDCO,EQ,79.75,80.25,80.5,78.5,79.15,78.85,79.48,2281770,18135908615000.0,10958,797084,0.3493
2017-08-23,HUDCO,EQ,78.85,79.4,80.6,79.0,79.8,79.8,79.8,2882497,23003197270000.0,12598,717924,0.24910000000000002
2017-08-24,HUDCO,EQ,79.8,80.2,80.4,79.4,79.4,79.55,79.77,1929941,15395540994999.998,8815,778909,0.4036
2017-08-28,HUDCO,EQ,79.55,79.95,80.8,79.5,79.65,79.75,80.14,3439649,27566170175000.0,11748,1346813,0.39159999999999995
2017-08-29,HUDCO,EQ,79.75,79.9,81.75,78.85,79.1,79.2,80.49,7048692,56736133654999.99,26658,2263538,0.3211
2017-08-30,HUDCO,EQ,79.2,79.9,81.15,79.55,80.9,80.55,80.31,4314894,34652571595000.0,14693,2088399,0.484
2017-08-31,HUDCO,EQ,80.55,82.05,83.6,81.6,83.1,83.15,82.88,10973531,90948155475000.0,40710,4269403,0.3891
2017-09-01,HUDCO,EQ,83.15,83.5,85.6,83.2,84.25,84.25,84.62,7797828,65981472570000.01,28934,2775977,0.35600000000000004
2017-09-04,HUDCO,EQ,84.25,84.25,84.35,81.0,82.55,82.45,82.49,3823792,31541057585000.004,15385,1326396,0.3469
2017-09-05,HUDCO,EQ,82.45,82.7,87.3,82.2,87.0,86.8,85.76,11151207,95629905470000.0,30488,4004657,0.3591
2017-09-06,HUDCO,EQ,86.8,86.25,89.15,85.7,86.9,87.1,87.77,14628247,128386649330000.0,48135,4345766,0.29710000000000003
2017-09-07,HUDCO,EQ,87.1,88.1,89.0,86.0,86.3,86.35,87.63,6581393,57674450360000.0,25476,2425161,0.3685
2017-09-08,HUDCO,EQ,86.35,86.8,87.3,83.7,84.45,84.65,85.33,6156417,52529867920000.0,25190,2182782,0.3546
2017-09-11,HUDCO,EQ,84.65,85.0,86.45,84.65,85.0,85.15,85.48,3748422,32043340064999.996,15425,1245105,0.3322
2017-09-12,HUDCO,EQ,85.15,85.4,86.2,84.75,84.9,84.95,85.25,3231618,27550401995000.0,12609,1353511,0.41880000000000006
2017-09-13,HUDCO,EQ,84.95,85.35,85.35,82.55,83.15,82.95,84.01,2910395,24449873100000.0,12357,1400351,0.48119999999999996
2017-09-14,HUDCO,EQ,82.95,83.5,84.7,82.75,83.25,83.15,83.65,2805037,23463140510000.0,12194,1196029,0.4264
2017-09-15,HUDCO,EQ,83.15,82.7,86.1,82.7,85.9,85.6,84.85,7470209,63385809320000.01,28464,2865681,0.3836
2017-09-18,HUDCO,EQ,85.6,86.9,88.4,86.15,87.7,87.45,87.46,8564963,74905728855000.0,36510,3410149,0.3982
2017-09-19,HUDCO,EQ,87.45,87.7,89.0,86.5,88.25,88.25,87.79,6253915,54901147945000.01,22745,2357481,0.37700000000000006
2017-09-20,HUDCO,EQ,88.25,88.45,91.55,87.45,89.3,89.45,89.75,17213784,154496867005000.0,63079,4582987,0.2662
2017-09-21,HUDCO,EQ,89.45,89.7,92.6,88.6,90.9,90.95,90.8,16368508,148630068610000.0,61190,4263009,0.2604
2017-09-22,HUDCO,EQ,90.95,90.05,90.65,85.3,85.8,85.85,87.92,7831522,68856586365000.0,31483,3544479,0.4526
2017-09-25,HUDCO,EQ,85.85,86.2,86.85,81.6,83.55,83.65,83.74,7148107,59860976665000.0,32275,2472096,0.3458
2017-09-26,HUDCO,EQ,83.65,83.95,85.95,83.0,84.9,84.95,84.72,5364467,45448336930000.0,22943,1675545,0.3123
2017-09-27,HUDCO,EQ,84.95,85.6,86.5,82.55,83.4,83.05,84.57,4037610,34144257200000.0,20502,1441647,0.35710000000000003
2017-09-28,HUDCO,EQ,83.05,83.55,84.15,82.25,83.4,83.4,83.46,2475462,20659238980000.0,11935,913097,0.3689
2017-09-29,HUDCO,EQ,83.4,83.85,84.35,83.0,83.1,83.2,83.8,2860402,23970853555000.0,11858,1156548,0.4043
2017-10-03,HUDCO,EQ,83.2,84.1,84.1,82.6,83.2,82.9,83.41,2106671,17571905069999.998,9477,947501,0.4498
2017-10-04,HUDCO,EQ,82.9,83.2,84.45,82.6,83.75,83.5,83.61,3061571,25596517240000.0,10697,1084845,0.3543
2017-10-05,HUDCO,EQ,83.5,83.7,85.35,83.1,83.75,83.8,84.03,3839963,32266373664999.996,13268,1261277,0.3285
2017-10-06,HUDCO,EQ,83.8,84.0,85.25,83.7,83.85,83.9,84.29,4965655,41854390310000.0,16143,1897314,0.3821
2017-10-09,HUDCO,EQ,83.9,83.4,85.05,83.1,83.25,83.3,84.09,4302355,36176955610000.0,14207,1672370,0.3887
2017-10-10,HUDCO,EQ,83.3,83.7,84.3,83.25,83.4,83.5,83.74,3511696,29407931535000.004,13364,1194291,0.3401
2017-10-11,HUDCO,EQ,83.5,83.9,84.05,81.0,81.65,81.85,82.87,3912981,32425471925000.0,15018,1813659,0.4635
2017-10-12,HUDCO,EQ,81.85,82.3,82.45,81.4,82.0,81.9,81.95,2338191,19160365800000.0,10628,1060171,0.4534
2017-10-13,HUDCO,EQ,81.9,82.25,83.7,82.1,82.15,82.2,82.75,2586529,21402826510000.0,10801,1053091,0.4071
2017-10-16,HUDCO,EQ,82.2,82.3,83.05,81.5,81.8,81.8,82.08,2547885,20914171170000.0,9730,931112,0.3654
2017-10-17,HUDCO,EQ,81.8,81.95,82.9,81.8,81.9,81.95,82.17,2287388,18795240400000.0,8905,716586,0.31329999999999997
2017-10-18,HUDCO,EQ,81.95,81.95,82.35,81.35,81.45,81.5,81.78,2556367,20906477395000.0,9888,1068945,0.4182
2017-10-19,HUDCO,EQ,81.5,81.65,82.15,80.85,81.25,81.4,81.63,1083357,8843188485000.0,6461,684614,0.6319
2017-10-23,HUDCO,EQ,81.4,81.8,82.15,80.45,80.75,80.75,81.07,1852039,15013726165000.0,8739,805352,0.43479999999999996
2017-10-24,HUDCO,EQ,80.75,80.8,81.7,80.5,80.65,80.7,81.03,1811191,14676049865000.0,8323,782637,0.43210000000000004
2017-10-25,HUDCO,EQ,80.7,81.15,81.75,80.5,80.7,80.75,80.85,2002086,16187528794999.998,8758,1077457,0.5382
2017-10-26,HUDCO,EQ,80.75,80.6,83.85,80.6,82.25,82.25,82.72,4724918,39084999180000.0,20623,2013233,0.4261
2017-10-27,HUDCO,EQ,82.25,82.5,86.4,82.05,86.2,85.85,84.92,10327267,87696989875000.0,33919,4041290,0.39130000000000004
2017-10-30,HUDCO,EQ,85.85,87.7,89.8,87.5,88.0,88.05,88.5,14498469,128311304045000.0,55496,5545401,0.3825
2017-10-31,HUDCO,EQ,88.05,88.25,88.3,85.75,85.95,85.95,86.52,3864949,33440669435000.004,19785,1845398,0.47750000000000004
2017-11-01,HUDCO,EQ,85.95,86.4,86.9,85.25,85.5,85.5,86.08,2784282,23966028075000.0,12487,1279243,0.4595
2017-11-02,HUDCO,EQ,85.5,85.7,88.2,85.0,86.95,86.85,86.74,4291838,37228925750000.0,18205,1504266,0.3505
2017-11-03,HUDCO,EQ,86.85,87.1,87.7,85.75,86.05,86.2,86.67,2963188,25682950735000.0,11778,1490860,0.5031
2017-11-06,HUDCO,EQ,86.2,85.85,89.0,84.3,84.5,84.9,86.79,9955242,86404557350000.0,38622,3204325,0.32189999999999996
2017-11-07,HUDCO,EQ,84.9,84.8,85.9,82.25,82.55,82.55,83.91,3643049,30569332220000.0,16416,1692757,0.4647
2017-11-08,HUDCO,EQ,82.55,82.75,83.65,81.6,81.95,81.9,82.55,2188293,18063858335000.0,11788,927558,0.4239
2017-11-09,HUDCO,EQ,81.9,82.75,82.75,81.4,81.8,81.95,82.06,2034163,16692099635000.0,10227,888562,0.4368
2017-11-10,HUDCO,EQ,81.95,81.9,82.45,81.35,81.65,81.7,81.77,1807589,14781473765000.0,8807,744132,0.4117
2017-11-13,HUDCO,EQ,81.7,81.95,82.3,80.45,80.55,80.65,81.33,1677630,13643886010000.0,7511,930667,0.5548
2017-11-14,HUDCO,EQ,80.65,81.05,82.5,81.0,81.3,81.4,81.56,2372924,19354232975000.0,11232,958087,0.40380000000000005
2017-11-15,HUDCO,EQ,81.4,81.65,81.9,79.55,79.8,79.85,80.56,2269465,18283511800000.0,12496,1175852,0.5181
2017-11-16,HUDCO,EQ,79.85,80.4,82.4,80.15,81.85,81.45,80.96,2125875,17210605315000.0,9914,872083,0.41020000000000006
2017-11-17,HUDCO,EQ,81.45,83.0,83.8,82.05,82.2,82.25,82.79,3093681,25612320745000.0,13063,1263931,0.4086
2017-11-20,HUDCO,EQ,82.25,82.25,82.75,81.85,81.95,82.0,82.17,1416294,11638037395000.0,7240,511559,0.36119999999999997
2017-11-21,HUDCO,EQ,82.0,82.4,82.7,81.3,81.35,81.4,82.05,1608706,13199872490000.0,8174,821002,0.5103
