Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-17,DPWIRES,EQ,74.0,78.0,88.8,78.0,88.8,88.8,88.08,10184,89703330000.0,90,9561,0.9388
2020-01-20,DPWIRES,EQ,88.8,98.0,98.0,80.2,83.0,83.35,90.39,3897,35225380000.0,119,2875,0.7377
2020-01-21,DPWIRES,EQ,83.35,74.1,86.9,74.1,82.75,80.7,79.26,15091,119609345000.0,89,4244,0.2812
2020-01-22,DPWIRES,EQ,80.7,85.95,85.95,80.0,83.7,83.7,81.74,3306,27022415000.000004,30,3205,0.9694
2020-01-23,DPWIRES,EQ,83.7,87.6,91.0,80.0,86.5,86.3,86.74,280,2428715000.0,23,206,0.7356999999999999
2020-01-24,DPWIRES,EQ,86.3,90.0,91.0,76.05,90.95,90.3,90.18,5916,53352260000.0,33,5848,0.9884999999999999
2020-01-27,DPWIRES,EQ,90.3,94.0,94.0,79.7,91.0,90.9,88.82,5925,52628519999.99999,145,3056,0.5158
2020-01-28,DPWIRES,EQ,90.9,84.1,91.9,84.1,88.0,87.4,89.57,1257,11259195000.0,45,1011,0.8043000000000001
2020-01-29,DPWIRES,EQ,87.4,86.95,90.5,86.1,86.6,87.9,87.89,45,395495000.0,10,39,0.8667
2020-01-30,DPWIRES,EQ,87.9,90.05,90.05,85.65,86.0,86.0,85.81,79,677910000.0,6,77,0.9747
2020-01-31,DPWIRES,EQ,86.0,86.0,91.0,86.0,90.0,90.0,90.05,1654,14894750000.0,16,1584,0.9577
2020-02-01,DPWIRES,EQ,90.0,89.9,89.9,79.15,89.9,86.0,87.11,8,69685000.0,7,3,0.375
2020-02-03,DPWIRES,EQ,86.0,84.0,84.1,84.0,84.1,84.1,84.05,4,33620000.0,2,2,0.5
2020-02-04,DPWIRES,EQ,84.1,89.95,89.95,84.1,84.1,87.45,88.05,722,6356870000.0,21,401,0.5554
2020-02-05,DPWIRES,EQ,87.45,91.5,91.5,85.5,88.0,87.75,87.28,790,6895100000.0,19,615,0.7785
2020-02-06,DPWIRES,EQ,87.75,89.45,89.45,88.5,88.5,88.5,88.82,3,26645000.0,3,2,0.6667000000000001
2020-02-07,DPWIRES,EQ,88.5,85.1,88.45,77.05,84.35,82.25,83.96,1107,9294465000.0,23,771,0.6965000000000001
2020-02-10,DPWIRES,EQ,82.25,89.6,89.6,76.25,80.0,80.0,78.99,1463,11555865000.0,41,685,0.4682
2020-02-11,DPWIRES,EQ,80.0,80.0,85.0,80.0,82.0,83.5,82.69,130,1075000000.0,4,30,0.23079999999999998
