Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-08-28,TOTAL,EQ,24.8,26.0,26.0,26.0,26.0,26.0,26.0,51,132600000.0,2,51,1.0
2020-08-31,TOTAL,EQ,26.0,27.3,27.3,26.1,27.25,27.25,27.26,20683,56380950000.0,105,17766,0.8590000000000001
2020-09-01,TOTAL,EQ,27.25,27.3,28.6,25.9,28.6,28.6,27.47,6690,18374625000.0,63,4225,0.6315
2020-09-02,TOTAL,EQ,28.6,29.4,30.0,29.0,30.0,30.0,29.75,18051,53703850000.0,131,11200,0.6204999999999999
2020-09-03,TOTAL,EQ,30.0,31.5,31.5,31.45,31.5,31.5,31.49,5092,16035590000.0,29,5092,1.0
2020-09-04,TOTAL,EQ,31.5,31.5,33.05,31.45,33.05,33.05,32.92,21251,69958375000.0,104,21053,0.9906999999999999
2020-09-07,TOTAL,EQ,33.05,34.7,34.7,34.0,34.7,34.7,34.66,8368,29004830000.0,53,8160,0.9751000000000001
2020-09-08,TOTAL,EQ,34.7,36.0,36.4,36.0,36.4,36.4,36.38,8480,30848159999.999996,34,8465,0.9982
2020-09-09,TOTAL,EQ,36.4,38.2,38.2,38.2,38.2,38.2,38.2,2885,11020700000.0,15,2885,1.0
2020-09-10,TOTAL,EQ,38.2,40.1,40.1,36.35,40.1,39.95,39.21,31495,123486050000.0,109,27492,0.8729000000000001
2020-09-11,TOTAL,EQ,39.95,41.85,41.9,41.5,41.9,41.9,41.89,3587,15026845000.000002,16,3587,1.0
2020-09-14,TOTAL,EQ,41.9,43.95,43.95,43.95,43.95,43.95,43.95,730,3208350000.0,8,730,1.0
2020-09-15,TOTAL,EQ,43.95,46.1,46.1,42.0,46.1,46.1,44.37,72399,321222875000.0,394,52718,0.7282
2020-09-16,TOTAL,EQ,46.1,48.4,48.4,46.1,48.0,47.6,48.02,32560,156344195000.0,203,28249,0.8676
2020-09-17,TOTAL,EQ,47.6,47.3,49.9,45.25,46.0,45.3,46.77,12790,59817369999.99999,209,8203,0.6414
2020-09-18,TOTAL,EQ,45.3,44.0,44.0,43.05,43.05,43.05,43.11,6274,27046555000.0,105,5960,0.9500000000000001
2020-09-21,TOTAL,EQ,43.05,40.9,40.9,40.9,40.9,40.9,40.9,6390,26135100000.0,26,6390,1.0
2020-09-22,TOTAL,EQ,40.9,38.9,38.9,38.9,38.9,38.9,38.9,1072,4170080000.0000005,13,1072,1.0
2020-09-23,TOTAL,EQ,38.9,37.0,39.7,37.0,37.05,38.35,37.49,33301,124847625000.0,184,21887,0.6572
2020-09-24,TOTAL,EQ,38.35,36.55,38.0,36.45,37.4,37.4,37.14,8105,30103134999.999996,47,5592,0.6899
2020-09-25,TOTAL,EQ,37.4,37.4,39.25,37.4,39.25,39.25,39.14,5022,19655205000.0,29,4421,0.8803000000000001
2020-09-28,TOTAL,EQ,39.25,41.2,41.2,38.65,40.4,40.4,40.29,3017,12154905000.0,23,1968,0.6523000000000001
2020-09-29,TOTAL,EQ,40.4,39.15,41.8,39.1,41.5,39.25,40.09,4735,18981505000.0,37,2604,0.5499
2020-09-30,TOTAL,EQ,39.25,41.0,41.2,40.15,41.0,40.15,40.9,2555,10448715000.0,27,1998,0.782
2020-10-01,TOTAL,EQ,40.15,42.15,42.15,41.0,42.0,42.0,42.01,1562,6562300000.0,15,1262,0.8079000000000001
2020-10-05,TOTAL,EQ,42.0,42.0,42.0,39.9,41.65,41.7,40.71,1867,7601255000.0,28,1082,0.5795
2020-10-06,TOTAL,EQ,41.7,39.65,40.95,39.65,39.65,39.9,40.15,2019,8107150000.0,26,1502,0.7439
2020-10-07,TOTAL,EQ,39.9,39.9,39.9,37.95,37.95,37.95,37.99,1310,4976860000.0,20,1308,0.9984999999999999
2020-10-08,TOTAL,EQ,37.95,34.65,41.45,34.65,35.8,35.55,35.74,22418,80126675000.0,272,13026,0.5811000000000001
2020-10-09,TOTAL,EQ,35.55,35.5,35.95,35.0,35.0,35.25,35.49,2934,10413225000.0,38,1637,0.5579
2020-10-12,TOTAL,EQ,35.25,34.0,38.0,34.0,34.25,34.3,34.83,1400,4875585000.0,37,1192,0.8514
2020-10-13,TOTAL,EQ,34.3,33.1,34.1,33.1,33.75,33.75,33.9,2877,9751810000.0,31,2877,1.0
2020-10-14,TOTAL,EQ,33.75,37.1,37.1,31.15,34.15,32.5,33.9,3341,11326575000.0,68,1505,0.45049999999999996
2020-10-15,TOTAL,EQ,32.5,35.6,35.75,33.0,35.75,35.75,35.51,16170,57415675000.0,107,12016,0.7431
2020-10-16,TOTAL,EQ,35.75,39.3,39.3,36.55,39.3,39.3,38.84,31284,121521045000.0,215,17276,0.5522
2020-10-19,TOTAL,EQ,39.3,42.5,42.5,36.6,39.75,38.85,38.09,8645,32928475000.0,131,5265,0.609
2020-10-20,TOTAL,EQ,38.85,40.0,40.0,37.6,39.05,38.85,38.95,803,3127300000.0,41,742,0.924
2020-10-21,TOTAL,EQ,38.85,38.0,42.7,36.2,38.85,37.9,39.2,6247,24490780000.0,150,4539,0.7266
2020-10-22,TOTAL,EQ,37.9,40.85,40.85,36.05,37.35,36.65,36.97,3895,14400529999.999998,89,2071,0.5317000000000001
2020-10-23,TOTAL,EQ,36.65,38.35,38.35,36.9,36.9,37.3,37.57,597,2243070000.0,25,596,0.9983
2020-10-26,TOTAL,EQ,37.3,37.0,38.45,36.7,37.7,36.75,37.12,1702,6317120000.0,33,1549,0.9101
2020-10-27,TOTAL,EQ,36.75,39.5,39.5,36.05,38.65,38.45,36.78,737,2710420000.0,31,736,0.9986
2020-10-28,TOTAL,EQ,38.45,38.65,38.65,36.0,36.0,36.2,36.37,2585,9402345000.0,35,2579,0.9977
2020-10-29,TOTAL,EQ,36.2,36.0,38.5,33.1,35.1,35.25,35.12,8086,28396859999.999996,100,5259,0.6504000000000001
2020-10-30,TOTAL,EQ,35.25,37.2,37.25,35.55,36.75,36.7,37.0,602,2227195000.0,10,601,0.9983
2020-11-02,TOTAL,EQ,36.7,36.35,37.35,35.2,35.3,35.85,35.86,1472,5278315000.0,28,1272,0.8641
2020-11-03,TOTAL,EQ,35.85,39.15,39.15,34.25,35.0,35.0,36.19,1888,6833145000.0,37,1466,0.7765000000000001
2020-11-04,TOTAL,EQ,35.0,37.95,38.5,35.75,37.35,37.35,37.36,640,2391050000.0,18,515,0.8047
2020-11-05,TOTAL,EQ,37.35,36.2,36.45,35.25,36.4,36.4,36.18,4645,16806800000.0,47,3935,0.8471
2020-11-06,TOTAL,EQ,36.4,37.9,37.9,35.3,36.05,36.2,36.76,3375,12406740000.0,57,2989,0.8856
2020-11-09,TOTAL,EQ,36.2,36.4,38.0,36.3,37.8,37.8,37.58,2264,8507505000.0,38,2223,0.9819
2020-11-10,TOTAL,EQ,37.8,38.0,38.3,34.3,36.2,35.4,36.23,6674,24178910000.0,66,3999,0.5992000000000001
2020-11-11,TOTAL,EQ,35.4,34.7,37.7,32.15,35.15,35.15,34.15,14874,50802080000.0,253,7008,0.4712
2020-11-12,TOTAL,EQ,35.15,34.1,38.65,34.1,38.65,38.6,37.0,19335,71531215000.0,96,17018,0.8802
2020-11-13,TOTAL,EQ,38.6,42.45,42.45,39.35,42.45,42.45,41.51,27000,112074135000.00002,102,16566,0.6136
2020-11-14,TOTAL,EQ,42.45,44.1,46.45,41.1,43.0,42.9,43.43,8131,35310975000.0,108,6098,0.75
2020-11-17,TOTAL,EQ,42.9,46.45,47.15,43.85,47.15,47.15,46.81,45372,212373500000.0,234,35208,0.7759999999999999
2020-11-18,TOTAL,EQ,47.15,45.55,48.75,45.45,47.0,47.1,46.97,24524,115192625000.0,146,21647,0.8826999999999999
2020-11-19,TOTAL,EQ,47.1,49.3,49.45,47.6,49.45,49.45,49.19,40004,196797085000.0,124,38827,0.9706
2020-11-20,TOTAL,EQ,49.45,51.9,51.9,51.9,51.9,51.9,51.9,24604,127694760000.00002,28,24604,1.0
