Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-08-19,SPANDANA,EQ,856.0,825.0,866.0,691.1,854.75,847.8,804.79,4632064,372786093095000.0,167398,833756,0.18
2019-08-20,SPANDANA,EQ,847.8,840.0,855.45,829.95,839.6,839.85,841.04,256858,21602749065000.0,11031,83211,0.324
2019-08-21,SPANDANA,EQ,839.85,844.75,844.75,814.2,821.1,827.6,829.8,105935,8790523065000.001,5499,44062,0.41590000000000005
2019-08-22,SPANDANA,EQ,827.6,828.0,829.45,802.0,829.45,813.8,812.14,110132,8944280560000.0,3408,83023,0.7538
2019-08-23,SPANDANA,EQ,813.8,815.1,824.95,806.2,818.0,816.85,814.8,23465,1911923489999.9998,2065,10295,0.4387
2019-08-26,SPANDANA,EQ,816.85,837.7,837.7,818.0,825.0,824.9,823.95,18967,1562785780000.0,1940,12323,0.6497
2019-08-27,SPANDANA,EQ,824.9,825.0,870.0,825.0,854.8,846.45,843.74,67704,5712431275000.0,3241,33330,0.49229999999999996
2019-08-28,SPANDANA,EQ,846.45,850.0,934.8,849.95,884.0,879.15,892.05,205637,18343889055000.0,10918,81008,0.39390000000000003
2019-08-29,SPANDANA,EQ,879.15,880.0,897.0,862.25,894.4,891.0,881.58,42449,3742212204999.9995,3381,18385,0.43310000000000004
2019-08-30,SPANDANA,EQ,891.0,891.0,910.0,880.1,887.5,889.65,894.84,137067,12265356180000.0,4886,98105,0.7156999999999999
2019-09-03,SPANDANA,EQ,889.65,889.7,928.0,860.05,910.0,902.3,907.66,56835,5158661125000.0,5496,31154,0.5481
2019-09-04,SPANDANA,EQ,902.3,914.8,930.0,900.1,912.2,921.1,917.22,57691,5291546330000.0,3258,31968,0.5540999999999999
2019-09-05,SPANDANA,EQ,921.1,915.95,929.0,905.0,906.5,914.5,919.52,29421,2705306640000.0,2180,17560,0.5969
2019-09-06,SPANDANA,EQ,914.5,914.95,948.6,901.15,911.85,919.0,923.32,230800,21310311635000.0,11654,198130,0.8584
2019-09-09,SPANDANA,EQ,919.0,924.6,924.6,884.0,888.0,889.5,896.1,97968,8778923045000.0,2427,84172,0.8592000000000001
2019-09-11,SPANDANA,EQ,889.5,890.0,898.05,873.0,879.9,879.85,880.24,108474,9548294355000.0,5103,93197,0.8592000000000001
