Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-12-19,LAURUSLABS,EQ,428.0,489.9,498.0,475.0,480.0,480.4,481.92,17548335,845685147965000.0,329184,7808546,0.445
2016-12-20,LAURUSLABS,EQ,480.4,482.8,489.45,465.7,474.55,473.7,476.44,2555044,121732824355000.0,60268,975045,0.3816
2016-12-21,LAURUSLABS,EQ,473.7,474.0,480.0,470.0,474.1,473.4,474.03,924077,43803911745000.0,29793,342215,0.3703
2016-12-22,LAURUSLABS,EQ,473.4,472.0,477.9,470.0,474.0,474.55,473.2,1126022,53283474260000.0,40873,757284,0.6725
2016-12-23,LAURUSLABS,EQ,474.55,474.95,478.0,471.1,476.0,475.65,474.16,418933,19863937295000.0,9460,249619,0.5958
2016-12-26,LAURUSLABS,EQ,475.65,475.0,477.0,452.2,455.0,455.2,459.0,447513,20540947720000.0,18688,219243,0.48990000000000006
2016-12-27,LAURUSLABS,EQ,455.2,457.5,491.4,453.3,481.1,481.25,479.75,1592573,76403510365000.0,46313,552667,0.34700000000000003
2016-12-28,LAURUSLABS,EQ,481.25,483.0,490.0,474.3,488.4,486.25,485.05,863731,41895194350000.0,22775,350240,0.40549999999999997
2016-12-29,LAURUSLABS,EQ,486.25,488.8,498.9,476.7,481.0,480.25,488.83,374148,18289663350000.0,10513,111958,0.2992
2016-12-30,LAURUSLABS,EQ,480.25,483.75,484.5,479.0,480.05,480.85,481.39,162852,7839504700000.0,4781,64617,0.3968
2017-01-02,LAURUSLABS,EQ,480.85,482.0,487.9,475.95,486.05,486.4,483.47,180715,8736972720000.0,5447,58776,0.32520000000000004
2017-01-03,LAURUSLABS,EQ,486.4,486.0,488.0,475.55,476.0,476.35,480.57,112271,5395365270000.0,4227,61714,0.5497
2017-01-04,LAURUSLABS,EQ,476.35,479.9,483.75,473.8,475.0,475.5,478.01,98207,4694370880000.0,2694,35200,0.35840000000000005
2017-01-05,LAURUSLABS,EQ,475.5,478.85,482.9,475.5,477.0,476.35,478.0,91011,4350336285000.0,2093,33905,0.3725
2017-01-06,LAURUSLABS,EQ,476.35,478.9,479.9,471.55,473.5,472.75,474.84,68114,3234295725000.0,1823,32903,0.48310000000000003
2017-01-09,LAURUSLABS,EQ,472.75,477.95,480.0,462.8,477.0,475.3,473.76,189603,8982698710000.0,5436,71772,0.3785
2017-01-10,LAURUSLABS,EQ,475.3,475.35,477.0,468.5,473.2,473.1,472.74,74058,3501051070000.0005,1716,35568,0.4803
2017-01-11,LAURUSLABS,EQ,473.1,474.0,478.0,473.05,476.0,475.05,475.05,75403,3582048504999.9995,7203,44720,0.5931000000000001
2017-01-12,LAURUSLABS,EQ,475.05,472.0,480.55,469.65,475.5,475.25,475.51,87298,4151064210000.0,4280,46610,0.5339
2017-01-13,LAURUSLABS,EQ,475.25,475.0,499.7,473.25,491.7,494.6,489.2,530944,25973629910000.0,14447,261463,0.4924
2017-01-16,LAURUSLABS,EQ,494.6,496.0,498.8,484.0,484.65,485.25,489.33,563681,27582678200000.0,4690,451648,0.8012
2017-01-17,LAURUSLABS,EQ,485.25,485.9,489.5,475.0,476.9,476.95,480.42,460810,22138262815000.0,3280,418489,0.9081999999999999
2017-01-18,LAURUSLABS,EQ,476.95,478.95,485.0,477.0,478.0,478.1,479.26,63404,3038695775000.0,2357,26266,0.4143
2017-01-19,LAURUSLABS,EQ,478.1,478.65,485.0,478.65,481.9,480.85,481.47,69362,3339543520000.0,2364,42164,0.6079
2017-01-20,LAURUSLABS,EQ,480.85,480.0,482.0,475.5,478.7,478.8,479.12,116019,5558704205000.0,2689,97351,0.8391
2017-01-23,LAURUSLABS,EQ,478.8,479.0,481.7,475.35,478.0,477.45,478.38,147543,7058201765000.001,1448,134696,0.9129
2017-01-24,LAURUSLABS,EQ,477.45,478.0,481.0,474.4,480.0,477.5,478.09,294418,14075727925000.0,2345,271586,0.9225
2017-01-25,LAURUSLABS,EQ,477.5,479.65,480.0,476.0,477.1,477.6,478.32,159465,7627600655000.0,3753,144537,0.9064
2017-01-27,LAURUSLABS,EQ,477.6,472.05,480.0,472.05,472.6,473.55,475.8,36344,1729264200000.0,1356,23849,0.6562
2017-01-30,LAURUSLABS,EQ,473.55,474.0,480.0,472.2,476.0,478.15,476.46,108444,5166899840000.0,5370,81902,0.7552
2017-01-31,LAURUSLABS,EQ,478.15,479.0,481.0,474.0,475.5,474.75,475.21,77920,3702848179999.9995,5077,56274,0.7222
2017-02-01,LAURUSLABS,EQ,474.75,470.5,480.45,470.5,475.15,475.6,479.2,661974,31721861875000.0,5331,625249,0.9445
2017-02-02,LAURUSLABS,EQ,475.6,476.0,480.0,472.5,473.8,474.0,476.87,130918,6243097450000.0,3295,77235,0.5899
2017-02-03,LAURUSLABS,EQ,474.0,478.8,507.9,467.0,503.0,502.8,491.63,656304,32266014945000.0,21376,376186,0.5732
