Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-04-13,GFSTEELS,EQ,1.2,1.25,1.25,1.25,1.25,1.25,1.25,20285,2535625000.0,40,20285,1.0
2020-04-15,GFSTEELS,EQ,1.25,1.3,1.3,1.3,1.3,1.3,1.3,5261,683930000.0,20,5261,1.0
2020-04-16,GFSTEELS,EQ,1.3,1.35,1.35,1.35,1.35,1.35,1.35,2358,318330000.0,8,2358,1.0
2020-04-17,GFSTEELS,EQ,1.35,1.4,1.4,1.4,1.4,1.4,1.4,202,28280000.0,10,202,1.0
2020-04-20,GFSTEELS,EQ,1.4,1.45,1.45,1.45,1.45,1.45,1.45,1726,250269999.99999997,13,1726,1.0
2020-04-21,GFSTEELS,EQ,1.45,1.5,1.5,1.5,1.5,1.5,1.5,939,140850000.0,10,939,1.0
2020-04-22,GFSTEELS,EQ,1.5,1.55,1.55,1.45,1.55,1.55,1.52,10530,1596620000.0,17,7152,0.6792
2020-04-23,GFSTEELS,EQ,1.55,1.6,1.6,1.6,1.6,1.6,1.6,2828,452480000.0,5,2828,1.0
2020-04-24,GFSTEELS,EQ,1.6,1.65,1.65,1.65,1.65,1.65,1.65,2222,366630000.0,10,2222,1.0
2020-04-27,GFSTEELS,EQ,1.65,1.7,1.7,1.7,1.7,1.7,1.7,3706,630020000.0,11,3706,1.0
2020-04-28,GFSTEELS,EQ,1.7,1.75,1.75,1.75,1.75,1.75,1.75,474,82950000.0,4,474,1.0
2020-04-29,GFSTEELS,EQ,1.75,1.75,1.8,1.75,1.8,1.8,1.78,5277,939635000.0,13,5277,1.0
2020-04-30,GFSTEELS,EQ,1.8,1.85,1.85,1.85,1.85,1.85,1.85,2993,553705000.0,7,2993,1.0
2020-05-04,GFSTEELS,EQ,1.85,1.9,1.9,1.9,1.9,1.9,1.9,523,99370000.0,4,523,1.0
2020-05-05,GFSTEELS,EQ,1.9,1.95,1.95,1.95,1.95,1.95,1.95,1043,203385000.0,5,1043,1.0
2020-05-06,GFSTEELS,EQ,1.95,2.0,2.0,2.0,2.0,2.0,2.0,549,109800000.0,2,549,1.0
2020-08-18,GFSTEELS,EQ,3.2,3.35,3.35,3.35,3.35,3.35,3.35,1340,448900000.0,4,1340,1.0
2020-08-19,GFSTEELS,EQ,3.35,3.5,3.5,3.35,3.4,3.4,3.47,7052,2445550000.0,38,6428,0.9115000000000001
2020-08-20,GFSTEELS,EQ,3.4,3.5,3.5,3.25,3.25,3.25,3.38,3730,1260900000.0,19,3230,0.866
2020-08-21,GFSTEELS,EQ,3.25,3.4,3.4,3.1,3.1,3.1,3.2,8841,2832330000.0,23,8246,0.9327
2020-08-24,GFSTEELS,EQ,3.1,3.25,3.25,3.1,3.1,3.1,3.17,959,304455000.0,9,959,1.0
2020-08-25,GFSTEELS,EQ,3.1,3.1,3.15,2.95,2.95,2.95,3.15,504,158735000.0,6,502,0.996
2020-08-26,GFSTEELS,EQ,2.95,2.85,3.0,2.85,2.85,2.85,2.91,253,73605000.0,5,253,1.0
2020-08-27,GFSTEELS,EQ,2.85,2.85,2.85,2.75,2.75,2.75,2.81,845,237725000.0,15,845,1.0
2020-08-28,GFSTEELS,EQ,2.75,2.85,2.85,2.75,2.8,2.8,2.77,6753,1870925000.0,12,6297,0.9325
2020-08-31,GFSTEELS,EQ,2.8,2.8,2.9,2.7,2.9,2.8,2.78,4422,1230985000.0,20,4422,1.0
2020-09-01,GFSTEELS,EQ,2.8,2.85,2.85,2.7,2.7,2.7,2.7,3201,864285000.0,21,3191,0.9969
2020-09-02,GFSTEELS,EQ,2.7,2.7,2.8,2.7,2.8,2.8,2.79,520,144900000.0,3,520,1.0
2020-09-03,GFSTEELS,EQ,2.8,2.7,2.9,2.7,2.85,2.85,2.84,3671,1042570000.0000001,15,2670,0.7273000000000001
2020-09-04,GFSTEELS,EQ,2.85,2.95,2.95,2.75,2.95,2.95,2.91,2215,645230000.0,13,2214,0.9995
2020-09-07,GFSTEELS,EQ,2.95,3.05,3.05,2.85,3.05,3.05,3.04,4688,1424525000.0,42,4440,0.9470999999999999
2020-09-08,GFSTEELS,EQ,3.05,3.05,3.2,3.0,3.0,3.0,3.06,4143,1268095000.0,24,4043,0.9759000000000001
2020-09-09,GFSTEELS,EQ,3.0,2.9,3.15,2.85,3.15,3.15,3.03,9455,2861145000.0,24,2366,0.2502
2020-09-10,GFSTEELS,EQ,3.15,3.0,3.25,3.0,3.15,3.0,3.07,9031,2768105000.0,43,9028,0.9997
2020-09-11,GFSTEELS,EQ,3.0,3.0,3.15,2.85,3.0,3.0,3.06,16855,5157640000.0,62,8686,0.5153
2020-09-14,GFSTEELS,EQ,3.0,2.85,3.15,2.85,2.9,3.05,2.97,16765,4982310000.0,37,15387,0.9178000000000001
2020-09-15,GFSTEELS,EQ,3.05,2.9,3.0,2.9,2.9,2.9,2.9,18981,5507115000.0,37,18981,1.0
