Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-03-06,GEEKAYWIRE,EQ,40.0,41.0,41.0,37.5,37.5,37.5,40.55,10554,42791410000.0,43,10548,0.9994
2020-03-09,GEEKAYWIRE,EQ,37.5,41.0,41.0,38.5,38.5,38.5,39.93,700,2795000000.0,6,100,0.1429
2020-03-11,GEEKAYWIRE,EQ,38.5,41.0,41.0,41.0,41.0,41.0,41.0,12,49200000.0,4,12,1.0
2020-03-12,GEEKAYWIRE,EQ,41.0,38.5,41.0,38.5,41.0,41.0,40.79,1132,4616950000.0,5,1100,0.9717
2020-03-13,GEEKAYWIRE,EQ,41.0,41.0,41.0,38.5,41.0,41.0,40.99,1010,4139750000.0,4,1005,0.995
2020-03-16,GEEKAYWIRE,EQ,41.0,41.0,41.0,41.0,41.0,41.0,41.0,2105,8630500000.0,5,2105,1.0
2020-03-17,GEEKAYWIRE,EQ,41.0,41.0,41.0,39.0,39.0,39.0,40.93,147,601700000.0,7,146,0.9932
2020-03-18,GEEKAYWIRE,EQ,39.0,40.0,41.0,40.0,41.0,41.0,40.04,522,2090200000.0,4,522,1.0
2020-03-19,GEEKAYWIRE,EQ,41.0,41.0,41.0,40.0,40.25,40.25,40.3,2690,10840200000.0,10,2690,1.0
2020-03-20,GEEKAYWIRE,EQ,40.25,38.5,41.0,38.5,40.0,40.0,40.01,6134,24540400000.0,16,6114,0.9967
2020-03-23,GEEKAYWIRE,EQ,40.0,38.5,39.85,38.5,38.5,38.5,38.5,10503,40437190000.0,12,10301,0.9808
2020-03-24,GEEKAYWIRE,EQ,38.5,38.0,40.95,31.1,38.5,38.5,38.36,10315,39572825000.0,12,9140,0.8861
2020-03-25,GEEKAYWIRE,EQ,38.5,37.0,41.0,37.0,37.0,37.0,37.51,55,206300000.0,11,41,0.7454999999999999
2020-03-26,GEEKAYWIRE,EQ,37.0,41.0,41.0,40.85,40.85,40.85,41.0,262,1074180000.0,7,261,0.9962000000000001
2020-03-27,GEEKAYWIRE,EQ,40.85,48.65,48.65,40.85,45.0,45.0,42.72,5833,24918065000.0,68,4779,0.8193000000000001
2020-03-30,GEEKAYWIRE,EQ,45.0,54.0,54.0,43.85,48.0,47.95,45.74,5821,26624450000.0,75,5173,0.8887
2020-03-31,GEEKAYWIRE,EQ,47.95,57.5,57.5,42.0,49.0,49.75,49.48,14059,69557015000.0,115,11268,0.8015000000000001
2020-04-01,GEEKAYWIRE,EQ,49.75,46.0,51.0,46.0,49.9,48.05,49.69,5310,26384350000.0,61,4378,0.8245
2020-04-03,GEEKAYWIRE,EQ,48.05,51.0,51.0,46.0,46.0,46.0,48.08,3408,16387020000.000002,22,3321,0.9745
2020-04-07,GEEKAYWIRE,EQ,46.0,50.9,50.9,41.0,48.5,48.5,48.47,5515,26730190000.000004,35,5320,0.9646
