Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-10-07,SINTERCOM,EQ,82.5,84.7,84.7,82.55,82.65,83.05,83.43,11121,92779210000.0,53,10265,0.923
2020-10-08,SINTERCOM,EQ,83.05,81.35,81.35,78.9,78.9,78.9,79.98,85736,685732105000.0,39,82134,0.958
2020-10-09,SINTERCOM,EQ,78.9,82.55,82.55,79.0,79.95,79.95,79.43,7489,59484135000.0,17,7387,0.9864
2020-10-12,SINTERCOM,EQ,79.95,80.0,80.0,79.0,79.0,79.0,79.32,12502,99165975000.0,12,12501,0.9999
2020-10-13,SINTERCOM,EQ,79.0,79.0,79.6,79.0,79.0,79.0,79.01,525,4148280000.0000005,3,525,1.0
2020-10-14,SINTERCOM,EQ,79.0,79.95,79.95,79.0,79.0,79.0,79.01,1904,15043975000.0,6,1904,1.0
2020-10-15,SINTERCOM,EQ,79.0,79.0,79.0,78.0,78.0,78.0,78.89,4500,35500000000.0,4,4500,1.0
2020-10-16,SINTERCOM,EQ,78.0,80.0,80.0,78.0,78.05,78.05,78.01,3050,23792125000.0,6,3035,0.9951000000000001
2020-10-19,SINTERCOM,EQ,78.05,78.0,78.5,78.0,78.5,78.5,78.0,5008,39062790000.0,5,5003,0.9990000000000001
2020-10-20,SINTERCOM,EQ,78.5,78.0,79.5,78.0,79.5,78.05,78.01,3768,29394150000.0,5,3768,1.0
2020-10-21,SINTERCOM,EQ,78.05,78.05,78.05,78.0,78.05,78.05,78.03,7615,59423100000.0,14,7615,1.0
2020-10-22,SINTERCOM,EQ,78.05,78.5,78.95,78.0,78.9,78.9,78.06,4511,35211840000.0,5,4511,1.0
2020-10-23,SINTERCOM,EQ,78.9,78.0,78.0,78.0,78.0,78.0,78.0,2005,15639000000.0,3,2005,1.0
2020-10-26,SINTERCOM,EQ,78.0,79.95,79.95,78.0,78.5,78.5,78.13,4607,35994040000.0,16,4591,0.9965
2020-10-27,SINTERCOM,EQ,78.5,78.0,78.75,78.0,78.0,78.0,78.36,791,6198525000.0,3,408,0.5158
2020-10-28,SINTERCOM,EQ,78.0,78.0,78.0,78.0,78.0,78.0,78.0,2001,15607800000.0,3,2001,1.0
2020-10-29,SINTERCOM,EQ,78.0,81.55,81.55,78.0,78.0,78.0,78.17,21,164155000.0,2,21,1.0
2020-10-30,SINTERCOM,EQ,78.0,78.0,78.0,78.0,78.0,78.0,78.0,4052,31605600000.0,4,4052,1.0
2020-11-02,SINTERCOM,EQ,78.0,78.0,78.0,77.0,77.0,77.0,78.0,4003,31223200000.0,5,4003,1.0
2020-11-03,SINTERCOM,EQ,77.0,77.0,78.0,76.0,78.0,78.0,76.67,6001,46007800000.0,3,6001,1.0
2020-11-04,SINTERCOM,EQ,78.0,79.5,79.5,79.5,79.5,79.5,79.5,1,7950000.0,1,1,1.0
2020-11-05,SINTERCOM,EQ,79.5,78.0,78.0,77.0,77.0,77.0,77.86,4670,36359000000.0,3,4670,1.0
2020-11-06,SINTERCOM,EQ,77.0,79.5,79.5,77.0,77.0,77.0,77.01,2411,18566250000.0,8,2401,0.9959
2020-11-09,SINTERCOM,EQ,77.0,78.0,78.0,78.0,78.0,78.0,78.0,808,6302400000.0,6,808,1.0
2020-11-10,SINTERCOM,EQ,78.0,79.95,79.95,77.0,77.0,77.3,77.75,7635,59361330000.00001,29,4679,0.6128
2020-11-11,SINTERCOM,EQ,77.3,77.0,80.0,77.0,77.0,77.0,78.11,2712,21184675000.0,12,711,0.2622
2020-11-12,SINTERCOM,EQ,77.0,77.9,79.95,77.0,79.95,79.95,79.0,2102,16606445000.000002,8,2001,0.9520000000000001
2020-11-13,SINTERCOM,EQ,79.95,77.0,81.0,77.0,79.5,79.5,78.91,109,860150000.0,6,8,0.0734
2020-11-14,SINTERCOM,EQ,79.5,79.95,79.95,77.0,77.0,78.05,78.05,155,1209765000.0,8,51,0.329
2020-11-17,SINTERCOM,EQ,78.05,77.0,80.95,77.0,78.05,78.05,77.74,3142,24424760000.0,14,2005,0.6381
2020-11-18,SINTERCOM,EQ,78.05,79.95,79.95,77.0,79.0,79.0,77.07,2121,16346645000.000002,8,2020,0.9523999999999999
2020-11-19,SINTERCOM,EQ,79.0,78.25,78.25,77.0,77.1,77.1,77.57,4059,31484655000.0,17,2005,0.494
2020-11-20,SINTERCOM,EQ,77.1,77.0,79.4,77.0,78.0,78.0,78.06,537,4191640000.0,8,435,0.8101
2020-11-23,SINTERCOM,EQ,78.0,77.0,78.95,77.0,77.0,77.0,77.17,4050,31254920000.0,8,3350,0.8272
2020-11-24,SINTERCOM,EQ,77.0,77.0,79.5,76.9,76.9,76.9,77.02,4351,33512200000.0,8,4250,0.9768000000000001
2020-11-25,SINTERCOM,EQ,76.9,77.0,77.0,75.0,75.0,75.0,76.26,8272,63079994999.99999,14,8022,0.9698000000000001
2020-11-26,SINTERCOM,EQ,75.0,75.0,75.0,71.3,72.0,72.05,72.93,15447,112656725000.0,26,13578,0.8790000000000001
2020-11-27,SINTERCOM,EQ,72.05,72.0,75.45,70.0,70.0,70.95,71.69,23337,167299415000.0,43,22249,0.9534
2020-12-01,SINTERCOM,EQ,70.95,70.0,74.4,70.0,73.0,73.0,73.73,5038,37147480000.0,17,4535,0.9002
2020-12-02,SINTERCOM,EQ,73.0,73.0,76.65,73.0,74.0,74.0,75.24,1822,13708940000.0,36,1715,0.9413
2020-12-03,SINTERCOM,EQ,74.0,77.7,77.7,72.0,73.5,72.15,73.42,6597,48436130000.0,41,4864,0.7373000000000001
2020-12-04,SINTERCOM,EQ,72.15,74.0,75.6,73.0,74.75,74.65,73.47,11532,84721790000.0,34,11112,0.9636
2020-12-07,SINTERCOM,EQ,74.65,75.55,76.0,73.5,76.0,76.0,75.55,1335,10085515000.0,25,928,0.6951
