Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-08-13,NDRAUTO,EQ,139.25,161.0,167.1,150.25,167.1,167.1,161.34,38698,624348485000.0,816,18371,0.4747
2020-08-14,NDRAUTO,EQ,167.1,188.8,200.5,180.25,200.5,200.5,196.99,85926,1692673730000.0,2002,24811,0.2887
2020-08-17,NDRAUTO,EQ,200.5,214.8,220.55,205.0,220.55,220.55,217.73,63185,1375750515000.0,1592,28281,0.4476
2020-08-18,NDRAUTO,EQ,220.55,230.0,242.6,230.0,242.6,242.6,239.59,73191,1753573630000.0,1480,25986,0.355
2020-08-19,NDRAUTO,EQ,242.6,263.95,266.85,257.0,266.85,266.85,264.85,28183,746415975000.0,433,17161,0.6089
2020-08-20,NDRAUTO,EQ,266.85,280.15,280.15,280.15,280.15,280.15,280.15,6960,194984400000.0,75,6960,1.0
2020-08-21,NDRAUTO,EQ,280.15,284.7,284.95,266.15,266.15,266.15,275.28,35841,986613669999.9999,680,27881,0.7779
2020-08-24,NDRAUTO,EQ,266.15,252.85,252.85,252.85,252.85,252.85,252.85,2666,67409810000.0,86,2666,1.0
2020-08-25,NDRAUTO,EQ,252.85,240.25,240.25,240.25,240.25,240.25,240.25,2770,66549250000.0,68,2552,0.9213
2020-08-26,NDRAUTO,EQ,240.25,228.25,228.25,228.25,228.25,228.25,228.25,1763,40240475000.0,65,1763,1.0
2020-08-27,NDRAUTO,EQ,228.25,216.85,216.85,216.85,216.85,216.85,216.85,1763,38230655000.0,77,1763,1.0
2020-08-28,NDRAUTO,EQ,216.85,206.05,227.65,206.05,206.05,206.55,217.5,148607,3232253710000.0,4165,56480,0.3801
2020-08-31,NDRAUTO,EQ,206.55,197.6,214.4,196.25,196.25,196.25,199.02,20875,415449355000.0,617,13292,0.6367
2020-09-01,NDRAUTO,EQ,196.25,188.2,191.95,186.45,186.45,186.45,187.36,4119,77172715000.0,133,2824,0.6856
2020-09-02,NDRAUTO,EQ,186.45,177.15,183.95,177.15,177.15,177.15,177.87,9237,164299365000.0,254,6741,0.7298
2020-09-03,NDRAUTO,EQ,177.15,171.65,186.0,170.0,180.5,180.85,181.38,54115,981518650000.0,2118,16949,0.31320000000000003
2020-09-04,NDRAUTO,EQ,180.85,172.1,179.0,171.85,172.7,171.95,172.97,16154,279408155000.0,664,7804,0.48310000000000003
2020-09-07,NDRAUTO,EQ,171.95,172.7,172.7,164.2,167.85,166.5,167.26,7906,132234325000.0,392,3804,0.48119999999999996
2020-09-08,NDRAUTO,EQ,166.5,166.35,166.35,158.2,158.2,158.2,160.07,10070,161189685000.0,428,6146,0.6103000000000001
2020-09-09,NDRAUTO,EQ,158.2,150.3,157.3,150.3,153.5,151.3,151.11,6509,98358045000.0,205,4908,0.7540000000000001
2020-09-10,NDRAUTO,EQ,151.3,153.9,153.9,143.75,146.0,144.45,148.41,14918,221403265000.0,474,8214,0.5506000000000001
2020-09-11,NDRAUTO,EQ,144.45,143.35,148.0,140.15,142.15,143.85,143.83,7160,102980820000.0,161,5169,0.7219
2020-09-14,NDRAUTO,EQ,143.85,141.2,149.0,141.2,145.0,145.2,147.42,10449,154037050000.0,349,7076,0.6772
2020-09-15,NDRAUTO,EQ,145.2,152.45,152.45,146.2,152.45,152.45,152.06,11618,176663250000.0,138,7551,0.6498999999999999
