Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-11-01,MAZDA,EQ,364.0,374.7,400.0,305.0,365.6,369.0,375.1,20314,761969295000.0,510,5884,0.2897
2016-11-02,MAZDA,EQ,369.0,365.35,365.35,352.25,364.9,359.15,357.44,3522,125890914999.99998,111,812,0.2306
2016-11-03,MAZDA,EQ,359.15,364.0,369.7,350.55,355.0,351.95,362.39,509,18445815000.0,24,232,0.4558
2016-11-04,MAZDA,EQ,351.95,343.25,346.0,336.1,337.55,337.9,339.52,1460,49570555000.0,34,1177,0.8062
2016-11-07,MAZDA,EQ,337.9,325.1,358.0,325.1,349.05,349.05,351.13,2257,79250580000.0,63,785,0.3478
2016-11-08,MAZDA,EQ,349.05,358.95,360.0,350.0,350.5,350.5,354.18,719,25465610000.0,21,262,0.3644
2016-11-09,MAZDA,EQ,350.5,325.0,344.9,325.0,340.0,340.0,337.8,747,25233715000.0,25,488,0.6533
2016-11-10,MAZDA,EQ,340.0,340.0,360.0,335.0,350.05,351.75,351.3,383,13454825000.0,18,330,0.8616
2016-11-11,MAZDA,EQ,351.75,340.0,349.9,335.0,340.0,347.95,346.09,477,16508670000.000002,10,477,1.0
2016-11-15,MAZDA,EQ,347.95,340.0,340.0,320.0,326.0,328.1,328.79,2489,81836305000.0,71,1901,0.7637999999999999
2016-11-16,MAZDA,EQ,328.1,329.9,329.9,312.5,326.0,327.9,320.98,2905,93244280000.0,41,2423,0.8341
2016-11-17,MAZDA,EQ,327.9,324.0,324.0,320.0,324.0,323.05,321.11,362,11624010000.0,12,360,0.9945
2016-11-18,MAZDA,EQ,323.05,320.0,325.0,320.0,320.05,320.05,321.71,323,10391080000.0,9,308,0.9536
2016-11-21,MAZDA,EQ,320.05,320.1,328.0,306.0,328.0,318.9,318.6,500,15930245000.000002,17,455,0.91
2016-11-22,MAZDA,EQ,318.9,320.0,320.0,320.0,320.0,320.0,320.0,20,640000000.0,1,20,1.0
2016-11-23,MAZDA,EQ,320.0,303.0,340.0,303.0,323.25,323.25,315.97,216,6824920000.0,19,205,0.9490999999999999
2016-11-24,MAZDA,EQ,323.25,318.0,318.0,318.0,318.0,318.0,318.0,20,636000000.0,1,20,1.0
2016-11-25,MAZDA,EQ,318.0,328.95,344.9,318.05,344.0,340.4,338.27,135,4566660000.0,16,83,0.6148
2016-11-28,MAZDA,EQ,340.4,320.45,339.95,305.6,339.0,335.7,329.11,109,3587290000.0,16,52,0.4771
2016-11-30,MAZDA,EQ,335.7,315.05,339.0,315.05,320.0,320.05,320.75,1993,63925375000.0,116,814,0.40840000000000004
2016-12-01,MAZDA,EQ,320.05,330.0,338.0,310.25,316.55,318.9,322.12,1533,49380410000.0,96,1140,0.7436
2016-12-02,MAZDA,EQ,318.9,318.0,329.9,310.25,320.0,320.0,316.06,695,21966000000.0,53,500,0.7194
2016-12-05,MAZDA,EQ,320.0,320.05,323.05,315.25,319.05,321.25,319.03,407,12984705000.0,19,106,0.2604
2016-12-06,MAZDA,EQ,321.25,331.95,343.5,330.0,330.0,330.0,334.48,71,2374810000.0,10,60,0.8451000000000001
2016-12-07,MAZDA,EQ,330.0,329.95,330.0,329.9,329.9,329.9,330.0,66,2177970000.0,7,63,0.9545
2016-12-08,MAZDA,EQ,329.9,339.6,340.0,337.95,338.0,338.0,338.54,145,4908895000.0,7,140,0.9655
2016-12-09,MAZDA,EQ,338.0,320.0,330.05,317.95,324.9,321.05,321.63,1105,35540485000.0,43,811,0.7339
