Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-09,SHIL,EQ,161.7,170.1,178.8,168.0,178.8,175.6,172.48,73801,1272928435000.0,795,57946,0.7852
2020-01-10,SHIL,EQ,175.6,175.6,191.0,175.6,185.0,188.2,185.95,87613,1629170160000.0,1881,64229,0.7331000000000001
2020-01-13,SHIL,EQ,188.2,185.0,197.8,180.0,180.0,180.75,185.93,39773,739491725000.0,1129,25219,0.6341
2020-01-14,SHIL,EQ,180.75,180.6,180.95,170.1,172.3,173.5,173.81,36384,632393950000.0,1657,28382,0.7801
2020-01-15,SHIL,EQ,173.5,170.25,179.9,164.0,178.0,172.6,169.84,36730,623822950000.0,812,28719,0.7819
2020-01-16,SHIL,EQ,172.6,169.3,183.0,169.3,177.05,178.7,178.81,26071,466187225000.0,509,21049,0.8074
2020-01-17,SHIL,EQ,178.7,179.0,179.0,171.0,175.05,172.95,173.51,42447,736498025000.0,934,35953,0.8470000000000001
2020-01-20,SHIL,EQ,172.95,169.1,175.9,167.5,168.7,170.55,170.39,12950,220657500000.0,279,10653,0.8226000000000001
2020-01-21,SHIL,EQ,170.55,170.5,174.0,165.0,172.0,171.75,169.98,38369,652190535000.0,424,31579,0.823
2020-01-22,SHIL,EQ,171.75,174.0,174.0,167.0,171.0,169.65,170.06,31681,538759634999.99994,475,28691,0.9056000000000001
2020-01-23,SHIL,EQ,169.65,173.0,173.0,165.2,168.0,167.75,167.8,54795,919485655000.0001,6290,48960,0.8935
2020-01-24,SHIL,EQ,167.75,165.1,170.5,165.1,168.15,168.6,168.45,26477,446000905000.0,540,23523,0.8884000000000001
2020-01-27,SHIL,EQ,168.6,165.6,168.15,164.05,166.95,166.4,166.35,9898,164652505000.0,293,7873,0.7954000000000001
2020-01-28,SHIL,EQ,166.4,169.95,169.95,157.0,160.0,161.95,163.67,32500,531930009999.99994,642,30770,0.9468000000000001
2020-01-29,SHIL,EQ,161.95,160.05,166.0,156.7,163.1,162.85,161.35,32096,517863484999.99994,543,29342,0.9142
2020-01-30,SHIL,EQ,162.85,167.3,167.35,155.45,162.5,161.45,159.08,25302,402502455000.0,513,20276,0.8014
2020-01-31,SHIL,EQ,161.45,164.1,164.1,156.0,157.0,158.45,157.95,41657,657983275000.0,1473,32825,0.788
2020-02-01,SHIL,EQ,158.45,155.3,157.35,128.2,147.0,145.25,148.64,45003,668909570000.0,764,34467,0.7659
2020-02-03,SHIL,EQ,145.25,142.05,153.85,140.0,153.7,145.1,144.31,63280,913178919999.9999,664,54177,0.8561
2020-02-04,SHIL,EQ,145.1,147.9,162.5,146.45,153.0,157.9,155.21,62921,976579615000.0,1374,53423,0.8490000000000001
2020-02-05,SHIL,EQ,157.9,154.05,159.8,149.0,153.0,153.7,154.08,27179,418769030000.0,1913,21603,0.7948000000000001
2020-02-06,SHIL,EQ,153.7,154.35,157.0,149.0,155.0,154.45,152.41,18702,285030855000.0,565,15472,0.8273
2020-02-07,SHIL,EQ,154.45,157.95,157.95,147.8,150.25,150.0,150.16,52849,793562345000.0,592,49754,0.9414
2020-02-10,SHIL,EQ,150.0,152.85,163.9,149.0,160.0,157.95,155.83,36107,562669745000.0,1621,28319,0.7843000000000001
2020-02-11,SHIL,EQ,157.95,164.85,164.85,154.0,156.05,158.0,157.03,31967,501988930000.0,966,22383,0.7001999999999999
2020-02-12,SHIL,EQ,158.0,159.95,163.75,149.0,152.0,152.0,152.76,39431,602349295000.0,867,31256,0.7927
2020-02-13,SHIL,EQ,152.0,155.4,158.9,143.5,158.0,153.75,147.95,63961,946313755000.0001,1029,47814,0.7475
2020-02-14,SHIL,EQ,153.75,153.05,157.5,150.0,153.0,153.0,152.76,95727,1462366160000.0,1160,89559,0.9356
2020-02-17,SHIL,EQ,153.0,151.05,153.1,146.2,147.1,149.7,149.1,45889,684207675000.0,902,29564,0.6443000000000001
2020-02-18,SHIL,EQ,149.7,148.95,149.5,139.0,141.0,143.35,142.93,45097,644591705000.0,938,32525,0.7212000000000001
2020-02-19,SHIL,EQ,143.35,146.0,146.05,137.45,139.4,140.9,140.78,28758,404848860000.0,1094,19308,0.6714
2020-02-20,SHIL,EQ,140.9,140.0,142.35,136.85,140.0,139.9,140.04,22516,315305645000.0,596,18776,0.8339
2020-02-24,SHIL,EQ,139.9,139.05,142.0,134.1,140.95,140.05,138.95,22568,313586170000.0,501,18237,0.8081
2020-02-25,SHIL,EQ,140.05,138.15,140.0,136.0,140.0,138.1,137.7,15058,207351920000.0,308,12965,0.861
2020-02-26,SHIL,EQ,138.1,138.85,138.85,133.95,137.0,136.5,137.01,26992,369817830000.0,451,25753,0.9541
2020-02-27,SHIL,EQ,136.5,135.5,140.0,132.0,136.9,136.15,136.06,29085,395737930000.0,844,15259,0.5246000000000001
2020-02-28,SHIL,EQ,136.15,132.0,137.25,129.0,133.0,132.85,131.79,24039,316801275000.0,471,19735,0.821
2020-03-02,SHIL,EQ,132.85,132.85,136.1,129.25,129.8,130.7,132.06,69024,911499450000.0,449,65670,0.9514
2020-03-03,SHIL,EQ,130.7,130.7,132.0,122.0,125.5,127.75,127.34,126846,1615195925000.0,731,118743,0.9361
2020-03-04,SHIL,EQ,127.75,127.7,127.7,120.0,121.0,121.9,123.48,73662,909559400000.0,386,68866,0.9349
2020-03-05,SHIL,EQ,121.9,123.0,123.0,117.05,119.0,120.5,119.96,28556,342555045000.0,319,24522,0.8587
2020-03-06,SHIL,EQ,120.5,120.0,120.0,114.1,119.95,118.6,117.33,21426,251391625000.0,293,18752,0.8752
2020-03-09,SHIL,EQ,118.6,115.05,115.05,97.3,108.0,108.95,110.7,64333,712156935000.0,680,57392,0.8921
2020-03-11,SHIL,EQ,108.95,107.95,108.05,103.0,104.1,104.1,105.4,28587,301297545000.0,497,25685,0.8985
2020-03-12,SHIL,EQ,104.1,88.25,99.95,88.0,95.0,95.45,92.69,168586,1562580335000.0,1395,139388,0.8268000000000001
2020-03-13,SHIL,EQ,95.45,91.0,94.4,77.5,90.6,90.45,90.19,304043,2742129020000.0,995,275265,0.9053
2020-03-16,SHIL,EQ,90.45,83.0,85.0,76.0,81.0,81.75,83.48,37312,311487015000.0,783,31373,0.8408
2020-03-17,SHIL,EQ,81.75,75.15,90.0,75.15,88.0,83.3,82.88,47698,395323260000.0,1135,37256,0.7811
2020-03-18,SHIL,EQ,83.3,83.0,83.8,76.0,76.0,76.65,77.83,30527,237585560000.0,404,27535,0.902
2020-03-19,SHIL,EQ,76.65,76.0,76.0,69.0,69.15,71.05,71.49,77478,553880390000.0,854,64434,0.8316
2020-03-20,SHIL,EQ,71.05,68.0,76.0,63.95,73.0,73.35,67.64,188974,1278172585000.0,3688,165036,0.8733
2020-03-23,SHIL,EQ,73.35,67.95,67.95,66.05,66.05,66.05,66.34,2354,15615695000.000002,70,2261,0.9605
2020-03-24,SHIL,EQ,66.05,60.05,63.8,59.45,59.45,59.45,59.49,223291,1328282420000.0,788,220347,0.9868000000000001
2020-03-25,SHIL,EQ,59.45,53.55,65.35,53.55,65.35,64.3,56.27,126764,713304295000.0,4382,113475,0.8952
2020-03-26,SHIL,EQ,64.3,70.7,70.7,59.5,70.7,69.7,70.36,158023,1111772085000.0,225,153183,0.9694
2020-03-27,SHIL,EQ,69.7,70.7,76.65,70.0,74.9,72.9,72.8,29004,211149525000.0,1901,24886,0.858
2020-03-30,SHIL,EQ,72.9,75.8,75.8,65.65,65.65,66.75,67.05,36247,243034235000.0,237,23108,0.6375000000000001
2020-03-31,SHIL,EQ,66.75,68.95,69.0,62.3,67.95,67.95,67.67,67469,456579490000.00006,198,57274,0.8489
2020-04-01,SHIL,EQ,67.95,65.15,67.85,61.2,61.2,61.2,63.08,104788,660988870000.0,1673,88906,0.8484
2020-04-03,SHIL,EQ,61.2,60.7,60.7,55.1,55.75,56.7,55.74,127222,709160460000.0,1174,76412,0.6006
2020-04-07,SHIL,EQ,56.7,61.9,62.35,55.5,62.35,62.35,59.53,42071,250436760000.0,356,33609,0.7989
2020-04-08,SHIL,EQ,62.35,66.4,68.55,57.65,68.55,68.55,67.7,19037,128882039999.99998,142,16775,0.8812000000000001
2020-04-09,SHIL,EQ,68.55,73.9,75.4,68.2,75.4,75.4,74.89,34944,261694320000.00003,215,32406,0.9274
2020-04-13,SHIL,EQ,75.4,74.0,80.05,72.4,79.0,78.65,76.05,28362,215694295000.00003,295,24363,0.8590000000000001
2020-04-15,SHIL,EQ,78.65,78.0,82.0,75.0,77.75,77.2,78.38,48775,382288195000.0,446,35711,0.7322
2020-04-16,SHIL,EQ,77.2,80.95,80.95,75.1,80.55,79.7,77.92,16516,128699545000.0,209,13013,0.7879
