Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-10-05,VALIANTORG,EQ,2876.0,2973.0,3131.0,2910.0,2940.0,2948.5,2952.69,4233,1249875390000.0,801,2432,0.5745
2020-10-06,VALIANTORG,EQ,2948.5,2970.0,3010.0,2875.05,2950.0,2969.7,2970.1,4409,1309517705000.0,1013,2722,0.6174000000000001
2020-10-07,VALIANTORG,EQ,2969.7,2974.65,2995.0,2877.0,2902.0,2912.95,2949.87,3807,1123015510000.0,753,2736,0.7187
2020-10-08,VALIANTORG,EQ,2912.95,2900.0,2980.0,2900.0,2955.0,2945.4,2951.7,5830,1720840205000.0,1052,4435,0.7606999999999999
2020-10-09,VALIANTORG,EQ,2945.4,2950.0,3488.0,2950.0,3380.0,3361.4,3313.28,63990,21201674725000.0,10955,23212,0.3627
2020-10-12,VALIANTORG,EQ,3361.4,3422.35,3877.0,3401.0,3600.05,3620.25,3535.48,39243,13874298644999.998,5757,22387,0.5705
2020-10-13,VALIANTORG,EQ,3620.25,3625.0,3740.0,3300.05,3575.0,3567.45,3556.68,22167,7884091980000.0,4315,10432,0.4706
2020-10-14,VALIANTORG,EQ,3567.45,3599.0,3749.6,3565.0,3600.0,3599.2,3652.2,19276,7039974000000.0,3741,10928,0.5669
2020-10-15,VALIANTORG,EQ,3599.2,3650.0,3678.0,3475.1,3490.0,3515.35,3583.44,9829,3522161275000.0,2403,5729,0.5829
2020-10-16,VALIANTORG,EQ,3515.35,3491.0,3649.0,3431.1,3480.0,3533.2,3529.36,9127,3221249660000.0,2112,5146,0.5638000000000001
2020-10-19,VALIANTORG,EQ,3533.2,3650.0,3650.0,3500.0,3509.0,3524.6,3575.09,15335,5482393660000.0,1264,8983,0.5858
2020-10-20,VALIANTORG,EQ,3524.6,3550.0,3575.35,3400.0,3430.0,3428.3,3483.01,8188,2851884670000.0,1527,3748,0.45770000000000005
2020-10-21,VALIANTORG,EQ,3428.3,3450.3,3509.95,3230.0,3325.0,3295.25,3350.63,9263,3103691570000.0,2005,5857,0.6323
2020-10-22,VALIANTORG,EQ,3295.25,3295.3,3339.55,3260.0,3308.0,3277.65,3293.65,3767,1240719570000.0,1031,2461,0.6533
2020-10-23,VALIANTORG,EQ,3277.65,3270.0,3625.0,3270.0,3486.0,3497.1,3532.72,18370,6489611900000.0,3236,9982,0.5434
2020-10-26,VALIANTORG,EQ,3497.1,3490.0,3577.95,3351.0,3360.0,3369.9,3441.8,8031,2764106650000.0,1712,5026,0.6258
2020-10-27,VALIANTORG,EQ,3369.9,3396.9,3396.9,3275.55,3343.4,3329.4,3328.53,6281,2090647985000.0002,1211,3436,0.547
2020-10-28,VALIANTORG,EQ,3329.4,3380.0,3529.85,3290.0,3302.0,3309.25,3375.53,5106,1723548095000.0,1253,2431,0.4761
2020-10-29,VALIANTORG,EQ,3309.25,3300.0,3350.0,3225.05,3320.0,3317.8,3286.69,6462,2123856285000.0002,1496,3847,0.5953
2020-10-30,VALIANTORG,EQ,3317.8,3304.45,3350.0,3266.0,3301.0,3320.2,3311.76,2565,849467060000.0,633,1694,0.6604000000000001
2020-11-02,VALIANTORG,EQ,3320.2,3330.0,3330.0,3230.0,3250.0,3245.9,3266.33,5008,1635778670000.0,925,3786,0.756
2020-11-03,VALIANTORG,EQ,3245.9,3248.9,3316.45,3200.0,3283.45,3286.1,3264.28,3844,1254790345000.0,992,2804,0.7293999999999999
2020-11-04,VALIANTORG,EQ,3286.1,3289.25,3300.0,3251.05,3300.0,3291.15,3281.25,2892,948938305000.0001,553,1880,0.6501
2020-11-05,VALIANTORG,EQ,3291.15,3330.0,3855.0,3240.0,3650.0,3731.95,3611.44,93519,33773807080000.0,11174,39983,0.4275
2020-11-06,VALIANTORG,EQ,3731.95,3698.0,3770.0,3612.15,3693.1,3689.2,3691.94,25106,9268975945000.0,3632,15917,0.634
2020-11-09,VALIANTORG,EQ,3689.2,3724.9,3730.0,3616.55,3630.0,3638.0,3650.63,11367,4149669145000.0005,1681,7642,0.6723
2020-11-10,VALIANTORG,EQ,3638.0,3645.0,3645.0,3502.2,3572.0,3560.85,3574.5,10579,3781462290000.0,1408,8252,0.78
2020-11-11,VALIANTORG,EQ,3560.85,3599.0,3599.0,3501.0,3572.0,3575.45,3563.5,17457,6220807030000.0,1566,13256,0.7594
2020-11-12,VALIANTORG,EQ,3575.45,3579.5,3708.75,3557.7,3650.0,3622.75,3627.01,40519,14696274885000.0,3087,31437,0.7759
2020-11-13,VALIANTORG,EQ,3622.75,3649.0,3690.05,3405.0,3425.0,3437.9,3536.9,51876,18348022415000.0,6017,34530,0.6656000000000001
2020-11-14,VALIANTORG,EQ,3437.9,3350.0,3350.0,3050.3,3077.85,3096.0,3129.47,48520,15184164365000.0,6079,31891,0.6573000000000001
2020-11-17,VALIANTORG,EQ,3096.0,3130.0,3156.0,2961.15,3100.0,3096.2,3087.1,54044,16683935760000.0,6476,28305,0.5236999999999999
2020-11-18,VALIANTORG,EQ,3096.2,3099.0,3145.0,3064.0,3079.85,3070.4,3092.58,19776,6115879150000.0,2062,14542,0.7353000000000001
2020-11-19,VALIANTORG,EQ,3070.4,3090.0,3099.0,3060.0,3061.0,3071.6,3078.18,15886,4890001515000.0,1829,11613,0.731
2020-11-20,VALIANTORG,EQ,3071.6,3075.0,3088.95,3019.8,3049.0,3051.1,3053.26,12028,3672461010000.0,1648,8893,0.7394
2020-11-23,VALIANTORG,EQ,3051.1,3090.0,3094.0,3019.8,3060.0,3052.65,3050.66,10900,3325223010000.0,1551,8171,0.7495999999999999
2020-11-24,VALIANTORG,EQ,3052.65,3087.0,3194.0,3054.0,3169.0,3163.25,3146.08,23364,7350497255000.0,3601,14868,0.6364
