Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-06,PANACHE,EQ,52.0,54.6,54.6,52.15,54.6,54.55,54.59,19134,104453810000.0,153,18985,0.9922
2020-01-07,PANACHE,EQ,54.55,57.25,57.25,56.1,57.25,57.25,57.2,14223,81350555000.0,206,10417,0.7323999999999999
2020-01-08,PANACHE,EQ,57.25,60.1,60.1,59.5,60.1,60.05,59.9,12069,72289005000.0,59,11857,0.9823999999999999
2020-01-09,PANACHE,EQ,60.05,63.05,63.05,61.0,63.05,62.2,62.82,28952,181863245000.0,100,24856,0.8584999999999999
2020-01-10,PANACHE,EQ,62.2,65.3,65.3,62.0,63.1,63.15,63.07,14967,94395505000.0,80,10950,0.7316
2020-01-13,PANACHE,EQ,63.15,63.05,65.8,63.0,63.25,63.15,63.34,23970,151820305000.0,93,17319,0.7225
2020-01-14,PANACHE,EQ,63.15,63.3,66.25,63.25,63.25,63.65,64.13,10706,68660350000.0,77,6673,0.6233
2020-01-15,PANACHE,EQ,63.65,65.8,65.8,63.55,65.65,65.5,65.53,5665,37124830000.0,23,4657,0.8220999999999999
2020-01-16,PANACHE,EQ,65.5,66.7,66.7,63.5,63.5,64.45,66.3,4720,31292345000.0,44,4262,0.903
2020-01-17,PANACHE,EQ,64.45,66.4,67.6,64.3,67.6,67.45,66.57,8835,58818625000.0,57,5110,0.5784
2020-01-20,PANACHE,EQ,67.45,70.0,70.0,65.25,69.75,69.7,68.3,5902,40313415000.0,67,3956,0.6703
2020-01-21,PANACHE,EQ,69.7,70.1,70.1,67.0,68.0,67.4,68.55,19043,130530380000.0,84,17462,0.917
2020-01-22,PANACHE,EQ,67.4,69.95,69.95,67.6,69.5,69.5,69.88,3450,24108750000.0,26,3400,0.9855
2020-01-23,PANACHE,EQ,69.5,69.5,72.8,67.5,68.0,68.85,70.04,11026,77220625000.0,52,10916,0.99
2020-01-24,PANACHE,EQ,68.85,67.55,70.85,67.55,68.5,70.4,70.19,4400,30884000000.0,35,3700,0.8409000000000001
2020-01-27,PANACHE,EQ,70.4,71.0,71.0,67.5,68.9,68.05,68.46,18813,128801414999.99998,82,10455,0.5557
2020-01-28,PANACHE,EQ,68.05,70.8,70.8,65.15,67.7,65.25,67.5,8891,60012850000.0,24,5651,0.6356
2020-01-29,PANACHE,EQ,65.25,65.75,67.0,65.25,67.0,65.25,65.72,8065,53003940000.0,15,5005,0.6206
2020-01-30,PANACHE,EQ,65.25,66.8,66.85,62.5,62.55,62.5,65.85,3899,25674790000.0,25,651,0.167
2020-01-31,PANACHE,EQ,62.5,65.25,65.35,62.35,64.7,63.9,64.94,3915,25422240000.0,13,915,0.23370000000000002
2020-02-01,PANACHE,EQ,63.9,66.1,66.4,62.35,62.35,62.35,63.45,10242,64986680000.00001,9,7239,0.7068000000000001
2020-02-03,PANACHE,EQ,62.35,60.0,64.65,60.0,62.0,62.05,64.02,3841,24588305000.0,11,100,0.026000000000000002
2020-02-04,PANACHE,EQ,62.05,64.75,65.15,63.65,65.0,65.0,63.98,6149,39342890000.0,15,911,0.1482
2020-02-05,PANACHE,EQ,65.0,66.8,67.95,64.0,67.9,65.55,66.65,3754,25019900000.0,16,502,0.13369999999999999
2020-02-06,PANACHE,EQ,65.55,70.0,70.0,65.3,70.0,68.45,68.9,3503,24137015000.0,15,400,0.1142
2020-02-07,PANACHE,EQ,68.45,67.35,67.35,62.0,62.05,62.1,63.3,12937,81886755000.0,28,6188,0.4783
2020-02-10,PANACHE,EQ,62.1,67.05,67.05,60.0,60.0,60.1,62.85,19505,122584200000.0,66,9704,0.4975
2020-02-11,PANACHE,EQ,60.1,60.0,63.4,57.15,58.0,58.0,60.37,7972,48130400000.0,37,4962,0.6224000000000001
2020-02-12,PANACHE,EQ,58.0,62.75,62.75,53.65,54.0,54.45,58.15,6106,35509105000.0,27,3028,0.49590000000000006
2020-02-13,PANACHE,EQ,54.45,55.0,57.0,50.05,53.5,53.85,53.86,9929,53474955000.00001,30,5361,0.5399
