Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-24,AARVI,EQ,23.55,24.7,24.7,24.7,24.7,24.7,24.7,1,2470000.0,1,1,1.0
2020-06-25,AARVI,EQ,24.7,25.9,25.9,25.9,25.9,25.9,25.9,1000,2590000000.0,1,1000,1.0
2020-06-26,AARVI,EQ,25.9,27.15,27.15,27.15,27.15,27.15,27.15,51,138465000.0,2,51,1.0
2020-06-29,AARVI,EQ,27.15,28.5,28.5,28.5,28.5,28.5,28.5,51,145350000.0,2,51,1.0
2020-06-30,AARVI,EQ,28.5,29.9,29.9,29.9,29.9,29.9,29.9,1260,3767400000.0,6,1260,1.0
2020-07-01,AARVI,EQ,29.9,31.35,31.35,31.3,31.35,31.35,31.34,8263,25898205000.0,46,8262,0.9999
2020-07-02,AARVI,EQ,31.35,32.9,32.9,32.9,32.9,32.9,32.9,1250,4112500000.0,6,1250,1.0
2020-07-03,AARVI,EQ,32.9,34.5,34.5,34.5,34.5,34.5,34.5,380,1311000000.0,4,380,1.0
2020-07-06,AARVI,EQ,34.5,36.2,36.2,36.2,36.2,36.2,36.2,500,1810000000.0,2,500,1.0
2020-07-07,AARVI,EQ,36.2,38.0,38.0,38.0,38.0,38.0,38.0,2718,10328400000.0,14,2718,1.0
2020-07-08,AARVI,EQ,38.0,39.9,39.9,36.1,37.0,36.55,37.94,35164,133424435000.00002,184,32142,0.9141
2020-07-09,AARVI,EQ,36.55,34.75,36.0,34.75,34.9,35.0,34.86,5669,19764825000.0,44,5333,0.9407
2020-07-10,AARVI,EQ,35.0,36.0,36.75,34.1,36.4,35.95,35.79,8201,29353690000.000004,121,4059,0.4949
2020-07-13,AARVI,EQ,35.95,37.7,37.7,34.8,36.9,35.85,36.23,2325,8423825000.0,35,1922,0.8267
2020-07-14,AARVI,EQ,35.85,36.0,37.5,34.1,34.35,35.15,35.11,3718,13052720000.0,58,2307,0.6204999999999999
2020-07-15,AARVI,EQ,35.15,33.85,35.85,33.4,33.4,33.4,33.56,4592,15412710000.0,76,3410,0.7426
2020-07-16,AARVI,EQ,33.4,31.9,32.9,31.75,31.75,31.75,31.83,1407,4478885000.0,26,1394,0.9908
2020-07-17,AARVI,EQ,31.75,32.0,32.9,30.7,32.9,32.9,32.5,432,1403945000.0,14,352,0.8148000000000001
2020-07-20,AARVI,EQ,32.9,34.3,34.3,31.5,32.95,32.95,32.41,2724,8827975000.0,71,1132,0.4156
2020-07-21,AARVI,EQ,32.95,31.5,34.2,31.35,31.35,31.4,31.94,5232,16708695000.000002,65,3315,0.6336
2020-07-22,AARVI,EQ,31.4,32.9,32.95,32.75,32.95,32.95,32.84,1265,4154750000.0,6,1265,1.0
2020-07-23,AARVI,EQ,32.95,34.5,34.5,31.4,31.5,31.6,32.31,10784,34843035000.0,101,2855,0.2647
2020-07-24,AARVI,EQ,31.6,32.75,32.75,30.1,30.35,30.35,31.33,343,1074490000.0,13,234,0.6822
2020-07-27,AARVI,EQ,30.35,31.75,31.75,31.0,31.4,31.4,31.66,545,1725259999.9999998,10,545,1.0
2020-07-28,AARVI,EQ,31.4,32.75,32.75,29.85,32.0,32.0,30.24,442,1336720000.0,9,392,0.8869
2020-07-30,AARVI,EQ,32.0,32.0,32.0,31.0,32.0,32.0,31.32,1108,3470669999.9999995,20,1108,1.0
2020-07-31,AARVI,EQ,32.0,30.4,32.5,30.4,31.5,31.5,31.5,32030,100892250000.0,3,32030,1.0
2020-08-03,AARVI,EQ,31.5,29.95,33.05,29.95,30.55,31.65,31.66,1894,5995510000.0,32,782,0.4129
2020-08-04,AARVI,EQ,31.65,33.2,33.2,30.1,30.1,30.1,30.25,5135,15532504999.999998,56,4047,0.7881
2020-08-05,AARVI,EQ,30.1,28.65,31.5,28.65,30.7,30.7,30.79,506,1558065000.0,15,477,0.9427
2020-08-06,AARVI,EQ,30.7,30.7,31.7,29.25,30.0,30.9,30.3,10461,31701400000.0,47,2399,0.2293
2020-08-07,AARVI,EQ,30.9,30.0,31.55,28.05,29.1,29.7,29.62,6458,19128725000.0,70,1022,0.1583
2020-08-10,AARVI,EQ,29.7,27.0,32.4,27.0,31.0,32.1,31.17,3311,10319165000.0,73,590,0.1782
2020-08-11,AARVI,EQ,32.1,31.5,34.25,30.0,32.9,32.9,31.52,282,888745000.0000001,12,245,0.8688
2020-08-12,AARVI,EQ,32.9,30.4,33.25,30.15,31.65,30.65,30.95,15688,48548525000.0,98,9580,0.6107
