Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-06-27,STEELCITY,EQ,64.05,68.75,68.75,60.5,62.0,61.1,62.97,112062,705675790000.0,755,77133,0.6883
2019-06-28,STEELCITY,EQ,61.1,62.45,62.5,59.5,60.5,59.65,61.1,14606,89236545000.0,161,9436,0.6459999999999999
2019-07-01,STEELCITY,EQ,59.65,59.0,61.0,59.0,60.15,60.1,59.93,19951,119571485000.00002,94,12550,0.629
2019-07-02,STEELCITY,EQ,60.1,60.0,60.5,59.6,60.4,60.25,59.99,4925,29544825000.0,37,3605,0.7320000000000001
2019-07-03,STEELCITY,EQ,60.25,60.0,61.0,58.1,59.4,58.65,59.15,7384,43678930000.0,72,4675,0.6331
2019-07-04,STEELCITY,EQ,58.65,58.5,60.0,58.5,59.95,59.8,59.85,1594,9539340000.0,32,913,0.5728
2019-07-05,STEELCITY,EQ,59.8,59.55,60.0,54.2,56.0,55.2,55.9,24760,138414440000.0,143,20681,0.8353
2019-07-08,STEELCITY,EQ,55.2,56.0,56.0,52.1,52.3,52.25,54.39,7517,40882115000.0,73,7400,0.9844
2019-07-09,STEELCITY,EQ,52.25,50.1,52.95,43.0,44.9,44.55,46.86,51573,241671590000.0,305,42638,0.8268000000000001
2019-07-10,STEELCITY,EQ,44.55,42.8,43.8,41.3,41.3,41.75,42.46,31788,134985525000.0,206,27091,0.8522
2019-07-11,STEELCITY,EQ,41.75,41.2,43.6,40.15,43.4,43.25,41.34,10301,42584860000.0,99,6385,0.6198
2019-07-12,STEELCITY,EQ,43.25,41.1,46.45,41.1,43.0,43.25,44.36,20762,92109525000.0,193,12330,0.5939
2019-07-15,STEELCITY,EQ,43.25,44.0,44.0,40.75,41.25,41.2,41.91,5815,24371605000.0,75,4563,0.7847
2019-07-16,STEELCITY,EQ,41.2,40.6,42.0,39.0,39.25,39.25,40.21,14861,59755015000.0,157,11244,0.7565999999999999
2019-07-17,STEELCITY,EQ,39.25,38.2,39.8,37.6,39.1,39.0,38.88,5792,22520260000.0,69,4234,0.731
2019-07-18,STEELCITY,EQ,39.0,39.35,39.35,36.0,36.5,36.15,37.11,17344,64367585000.0,114,16149,0.9311
2019-07-19,STEELCITY,EQ,36.15,36.8,38.0,32.55,32.9,33.0,33.27,114104,379653580000.0,405,104770,0.9181999999999999
2019-07-22,STEELCITY,EQ,33.0,32.4,32.4,30.0,31.0,30.85,30.68,27276,83688565000.0,171,20495,0.7514000000000001
2019-07-23,STEELCITY,EQ,30.85,32.0,33.0,31.85,32.6,32.7,32.51,12191,39629645000.0,81,7015,0.5754
2019-07-24,STEELCITY,EQ,32.7,33.2,33.6,32.0,33.45,33.05,32.65,5028,16416979999.999998,55,3201,0.6365999999999999
2019-07-25,STEELCITY,EQ,33.05,33.6,34.0,31.8,33.0,33.4,33.29,3119,10381850000.0,54,2286,0.7329000000000001
2019-07-26,STEELCITY,EQ,33.4,33.7,33.7,32.7,33.4,33.4,33.06,2187,7229739999.999999,28,2043,0.9342
2019-07-29,STEELCITY,EQ,33.4,33.2,33.35,32.6,33.0,33.0,32.95,990,3262100000.0,11,900,0.9091
2019-07-30,STEELCITY,EQ,33.0,33.15,33.3,32.2,32.2,32.65,32.69,2725,8908005000.0,24,2575,0.9450000000000001
2019-07-31,STEELCITY,EQ,32.65,32.8,33.0,31.3,31.6,32.8,32.14,2500,8034600000.0,16,2167,0.8668000000000001
2019-08-01,STEELCITY,EQ,32.8,32.0,32.0,30.7,30.7,31.05,31.9,200285,638947165000.0,179,190634,0.9518000000000001
2019-08-02,STEELCITY,EQ,31.05,30.35,30.95,28.4,29.05,29.05,29.52,7012,20700970000.0,125,5864,0.8362999999999999
2019-08-05,STEELCITY,EQ,29.05,29.85,29.85,27.9,29.2,29.0,29.03,4429,12855810000.0,23,4403,0.9941
2019-08-06,STEELCITY,EQ,29.0,29.8,29.8,28.15,29.7,29.7,28.87,3148,9088995000.0,21,3045,0.9673
2019-08-07,STEELCITY,EQ,29.7,29.8,29.8,28.7,29.65,29.5,29.7,1384,4110460000.0,16,1375,0.9934999999999999
2019-08-08,STEELCITY,EQ,29.5,30.0,31.9,28.8,31.2,30.45,30.0,5821,17464435000.0,50,5051,0.8677
2019-08-09,STEELCITY,EQ,30.45,31.8,31.8,29.55,29.65,29.65,30.12,753,2267845000.0,24,433,0.5750000000000001
2019-08-13,STEELCITY,EQ,29.65,32.0,32.0,28.0,29.6,29.6,29.08,4138,12035220000.0,12,4100,0.9908
2019-08-14,STEELCITY,EQ,29.6,29.8,29.8,28.55,29.5,29.5,29.22,314,917510000.0,13,313,0.9968000000000001
2019-08-16,STEELCITY,EQ,29.5,29.8,31.0,29.0,30.7,30.35,29.84,10986,32778205000.0,70,7778,0.708
2019-08-19,STEELCITY,EQ,30.35,30.8,31.7,30.1,30.95,31.2,30.95,9336,28897220000.0,97,7446,0.7976000000000001
2019-08-20,STEELCITY,EQ,31.2,30.95,31.6,29.5,30.05,29.85,29.85,69355,207023280000.0,73,60300,0.8694
2019-08-21,STEELCITY,EQ,29.85,30.5,30.5,29.25,30.0,30.0,29.74,89793,267084004999.99997,105,84261,0.9384
2019-08-22,STEELCITY,EQ,30.0,30.5,30.5,28.5,29.0,28.9,29.91,3370,10078145000.0,62,2773,0.8228
2019-08-23,STEELCITY,EQ,28.9,27.2,29.0,27.2,29.0,28.95,28.9,4178,12075705000.0,35,3868,0.9258
2019-08-26,STEELCITY,EQ,28.95,30.2,30.2,28.8,29.85,29.85,29.38,223,655115000.0,15,89,0.39909999999999995
2019-08-27,STEELCITY,EQ,29.85,28.3,31.4,28.3,30.9,30.5,29.74,32608,96971130000.0,60,28467,0.873
2019-08-28,STEELCITY,EQ,30.5,31.4,31.5,30.5,31.5,31.3,31.04,8176,25378645000.0,31,8103,0.9911
2019-08-29,STEELCITY,EQ,31.3,31.5,32.0,30.1,30.3,30.75,30.55,16497,50390735000.0,51,16229,0.9838
2019-08-30,STEELCITY,EQ,30.75,31.5,31.5,30.15,31.4,30.6,31.32,667,2089115000.0000002,17,568,0.8516
2019-09-03,STEELCITY,EQ,30.6,30.4,31.25,30.4,31.25,31.25,30.98,2264,7013264999.999999,13,2264,1.0
2019-09-04,STEELCITY,EQ,31.25,31.05,32.95,31.05,32.7,31.45,31.27,6904,21589425000.0,16,6852,0.9925
2019-09-05,STEELCITY,EQ,31.45,31.5,31.95,31.4,31.4,31.55,31.75,9690,30764375000.0,13,9642,0.995
2019-09-06,STEELCITY,EQ,31.55,31.8,33.4,31.55,32.9,32.9,32.08,795,2550370000.0,9,795,1.0
2019-09-09,STEELCITY,EQ,32.9,31.35,35.5,31.35,35.4,34.55,34.33,7135,24494810000.0,60,4732,0.6631999999999999
2019-09-11,STEELCITY,EQ,34.55,34.6,37.4,34.55,37.2,37.1,36.04,6801,24512150000.0,51,4892,0.7193
2019-09-12,STEELCITY,EQ,37.1,37.1,37.85,37.0,37.0,37.05,37.31,4313,16089700000.0,37,3961,0.9184000000000001
2019-09-13,STEELCITY,EQ,37.05,38.0,38.0,37.05,37.8,37.6,37.57,3338,12540260000.0,22,3338,1.0
2019-09-16,STEELCITY,EQ,37.6,37.6,37.8,37.0,37.05,37.05,37.41,3950,14778835000.0,30,3589,0.9086
2019-09-17,STEELCITY,EQ,37.05,36.8,37.1,36.6,36.6,36.65,36.71,2223,8159864999.999999,20,2219,0.9982
2019-09-18,STEELCITY,EQ,36.65,36.1,36.6,35.1,35.85,36.15,35.88,396,1420960000.0,22,250,0.6313000000000001
2019-09-19,STEELCITY,EQ,36.15,37.5,37.5,35.0,35.0,35.1,35.65,2570,9162765000.0,35,2420,0.9416
