Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,VINDHYATEL,EQ,135.0,135.0,135.0,135.0,,135.0,135.0,100,1350000000.0,,,
1996-01-02,VINDHYATEL,EQ,135.0,135.0,135.0,125.0,,125.0,130.4,500,6520000000.0,,,
1996-01-03,VINDHYATEL,EQ,125.0,113.0,113.0,113.0,,113.0,113.0,100,1130000000.0,,,
1996-01-04,VINDHYATEL,EQ,113.0,114.9,114.9,113.0,,113.0,113.95,200,2279000000.0,,,
1996-01-05,VINDHYATEL,EQ,113.0,107.5,107.5,107.5,,107.5,107.5,100,1075000000.0,,,
1996-01-08,VINDHYATEL,EQ,107.5,108.0,108.0,108.0,,108.0,108.0,300,3240000000.0,,,
1996-01-09,VINDHYATEL,EQ,108.0,107.0,107.0,98.25,,98.25,102.63,200,2052500000.0,,,
1996-01-10,VINDHYATEL,EQ,98.25,98.5,98.5,98.0,,98.0,98.25,200,1965000000.0,,,
1996-01-11,VINDHYATEL,EQ,98.0,98.0,100.0,98.0,,98.65,98.81,400,3952500000.0,,,
1996-01-15,VINDHYATEL,EQ,98.65,99.0,99.0,98.5,,98.5,98.67,300,2960000000.0,,,
1996-01-16,VINDHYATEL,EQ,98.5,98.5,98.5,95.0,,95.0,96.75,200,1935000000.0,,,
1996-01-19,VINDHYATEL,EQ,95.0,93.5,93.5,90.0,,90.0,91.75,200,1835000000.0,,,
1996-01-23,VINDHYATEL,EQ,90.0,90.0,82.0,81.0,,82.0,81.5,200,1630000000.0,,,
1996-01-24,VINDHYATEL,EQ,82.0,77.0,84.0,77.0,,81.0,81.0,400,3240000000.0,,,
1996-01-25,VINDHYATEL,EQ,81.0,82.0,82.0,80.0,,80.0,80.75,400,3230000000.0,,,
1996-01-30,VINDHYATEL,EQ,80.0,78.0,78.0,75.0,,77.75,76.29,600,4577500000.0,,,
1996-01-31,VINDHYATEL,EQ,77.75,77.75,77.75,75.0,,77.75,77.25,700,5407500000.0,,,
1996-02-01,VINDHYATEL,EQ,77.75,77.75,79.5,77.75,,79.2,78.99,1500,11848500000.0,,,
1996-02-02,VINDHYATEL,EQ,79.2,85.0,85.0,81.0,,81.5,81.52,6100,49725500000.0,,,
1996-02-05,VINDHYATEL,EQ,81.5,83.0,86.0,83.0,,83.0,83.83,600,5030000000.0,,,
1996-02-06,VINDHYATEL,EQ,83.0,83.0,84.75,82.0,,84.75,82.53,900,7427500000.0,,,
1996-02-07,VINDHYATEL,EQ,84.75,80.0,80.0,77.0,,79.5,78.9,15300,120724000000.0,,,
1996-02-08,VINDHYATEL,EQ,79.5,80.0,80.0,76.55,,78.05,78.45,11900,93357500000.0,,,
1996-02-09,VINDHYATEL,EQ,78.05,85.0,85.0,78.0,,80.0,80.62,11500,92712000000.0,,,
1996-02-12,VINDHYATEL,EQ,80.0,85.0,88.0,85.0,,88.0,87.13,1300,11327500000.0,,,
1996-02-13,VINDHYATEL,EQ,88.0,88.0,92.5,86.0,,91.55,91.07,4400,40072000000.0,,,
1996-02-14,VINDHYATEL,EQ,91.55,92.0,99.5,92.0,,97.0,95.3,500,4765000000.0,,,
1996-02-15,VINDHYATEL,EQ,97.0,98.5,101.5,97.0,,100.5,98.58,2100,20701000000.0,,,
1996-02-16,VINDHYATEL,EQ,100.5,100.25,100.25,93.75,,95.0,96.14,700,6730000000.0,,,
1996-02-19,VINDHYATEL,EQ,95.0,93.0,94.0,91.0,,92.25,92.74,2900,26896000000.0,,,
1996-02-20,VINDHYATEL,EQ,92.25,92.0,95.0,87.0,,87.0,92.87,3200,29719000000.0,,,
1996-02-22,VINDHYATEL,EQ,87.0,90.5,92.0,90.5,,91.0,90.78,1200,10894000000.0,,,
1996-02-23,VINDHYATEL,EQ,91.0,89.0,89.0,89.0,,89.0,89.0,100,890000000.0,,,
1996-02-26,VINDHYATEL,EQ,89.0,89.0,94.25,92.0,,93.0,93.1,2000,18620500000.0,,,
1996-02-27,VINDHYATEL,EQ,93.0,91.0,92.5,91.0,,91.1,91.43,2300,21028000000.0,,,
1996-02-28,VINDHYATEL,EQ,91.1,92.0,92.0,89.75,,90.0,90.21,1600,14434000000.0,,,
1996-02-29,VINDHYATEL,EQ,90.0,87.5,89.0,87.5,,87.5,88.0,700,6160000000.0,,,
