Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-11-30,5PAISA,EQ,239.65,215.7,215.7,215.7,215.7,215.7,215.7,4761,102694770000.0,135,4761,1.0
2017-12-01,5PAISA,EQ,215.7,194.15,236.7,194.15,199.0,206.45,202.05,600433,12132037470000.0,5229,351348,0.5852
2017-12-04,5PAISA,EQ,206.45,196.0,212.9,186.05,186.95,187.3,196.23,266072,5221056375000.0,4489,132047,0.4963
2017-12-05,5PAISA,EQ,187.3,186.4,196.65,181.0,196.65,196.65,192.28,319610,6145546925000.0,6541,182785,0.5719
2017-12-06,5PAISA,EQ,196.65,206.45,206.45,206.45,206.45,206.45,206.45,10229,211177704999.99997,161,10229,1.0
2017-12-07,5PAISA,EQ,206.45,216.75,216.75,216.75,216.75,216.75,216.75,12932,280301100000.0,212,12932,1.0
2017-12-08,5PAISA,EQ,216.75,227.55,227.55,227.55,227.55,227.55,227.55,6710,152686050000.0,79,6710,1.0
2017-12-11,5PAISA,EQ,227.55,238.9,238.9,238.9,238.9,238.9,238.9,1724,41186360000.0,68,1724,1.0
2017-12-12,5PAISA,EQ,238.9,250.8,250.8,250.8,250.8,250.8,250.8,77110,1933918800000.0,245,48592,0.6302000000000001
2017-12-13,5PAISA,EQ,250.8,263.3,263.3,263.3,263.3,263.3,263.3,2564,67510119999.99999,89,2564,1.0
2017-12-14,5PAISA,EQ,263.3,276.45,276.45,276.45,276.45,276.45,276.45,4525,125093625000.0,276,4525,1.0
2017-12-15,5PAISA,EQ,276.45,290.25,290.25,290.25,290.25,290.25,290.25,1328,38545200000.0,68,1328,1.0
2017-12-18,5PAISA,EQ,290.25,304.75,304.75,304.75,304.75,304.75,304.75,20830,634794250000.0,186,20810,0.9990000000000001
2017-12-19,5PAISA,EQ,304.75,319.95,319.95,319.95,319.95,319.95,319.95,3152,100848240000.0,95,3152,1.0
2017-12-20,5PAISA,EQ,319.95,335.9,335.9,335.9,335.9,335.9,335.9,608,20422720000.0,41,608,1.0
2017-12-21,5PAISA,EQ,335.9,352.65,352.65,352.65,352.65,352.65,352.65,3913,137991945000.0,63,3002,0.7672
2017-12-22,5PAISA,EQ,352.65,370.25,370.25,370.25,370.25,370.25,370.25,1846,68348150000.0,69,1846,1.0
2017-12-26,5PAISA,EQ,370.25,388.75,388.75,388.75,388.75,388.75,388.75,902,35065250000.0,63,902,1.0
2017-12-27,5PAISA,EQ,388.75,408.15,408.15,369.35,369.35,375.05,384.81,126536,4869253455000.0,1897,48388,0.3824
2017-12-28,5PAISA,EQ,375.05,366.85,388.0,357.6,358.0,358.35,369.64,83353,3081021420000.0,2141,36967,0.4435
2017-12-29,5PAISA,EQ,358.35,358.85,376.25,358.85,376.25,376.05,372.99,50744,1892715589999.9998,1067,23782,0.4687
2018-01-01,5PAISA,EQ,376.05,383.0,383.0,357.25,357.25,357.45,364.71,32513,1185797555000.0,975,23949,0.7366
2018-01-02,5PAISA,EQ,357.45,357.0,364.8,339.6,339.6,339.6,345.43,25196,870337185000.0,617,18967,0.7528
2018-01-03,5PAISA,EQ,339.6,325.6,347.8,325.6,331.65,332.5,338.18,34131,1154242095000.0,948,18978,0.556
2018-01-04,5PAISA,EQ,332.5,332.1,348.65,331.5,339.2,337.7,338.18,15178,513293709999.99994,555,6907,0.4551
2018-01-05,5PAISA,EQ,337.7,345.95,352.0,327.0,332.0,330.7,334.67,20668,691704970000.0,740,10330,0.49979999999999997
2018-01-08,5PAISA,EQ,330.7,339.95,347.2,332.4,347.2,347.2,344.33,14044,483572709999.99994,272,12587,0.8963
2018-01-09,5PAISA,EQ,347.2,364.55,364.55,352.0,364.55,364.55,362.79,45529,1651739465000.0,507,24799,0.5447
2018-01-10,5PAISA,EQ,364.55,372.4,372.4,352.0,352.5,356.1,361.52,42475,1535542685000.0,839,34402,0.8099
2018-01-11,5PAISA,EQ,356.1,360.0,373.9,350.0,373.9,373.9,370.59,45065,1670084375000.0,941,29351,0.6513
2018-01-12,5PAISA,EQ,373.9,368.0,369.1,355.25,358.95,358.95,361.68,44908,1624243100000.0,1286,22580,0.5028
2018-01-15,5PAISA,EQ,358.95,360.5,364.0,350.0,357.0,354.1,354.61,15094,535250155000.0,511,9980,0.6612
2018-01-16,5PAISA,EQ,354.1,357.05,358.0,337.0,341.5,338.95,345.54,16504,570278790000.0,548,11725,0.7104
2018-01-17,5PAISA,EQ,338.95,327.4,339.95,322.5,335.0,328.55,328.05,10938,358821340000.0,483,6736,0.6158
2018-01-18,5PAISA,EQ,328.55,334.0,344.95,321.15,327.5,331.5,338.72,58965,1997280455000.0,1379,16560,0.2808
2018-01-19,5PAISA,EQ,331.5,337.95,337.95,316.1,333.95,329.65,328.34,15397,505544034999.99994,574,7686,0.49920000000000003
2018-01-22,5PAISA,EQ,329.65,332.65,339.0,322.0,324.95,323.65,326.95,6862,224351365000.0,314,4059,0.5915
2018-01-23,5PAISA,EQ,323.65,323.65,327.6,315.0,315.4,317.15,320.1,15769,504767340000.00006,488,10620,0.6735
2018-01-24,5PAISA,EQ,317.15,315.7,325.95,306.6,315.0,311.65,314.77,16955,533696359999.99994,807,9320,0.5497
2018-01-25,5PAISA,EQ,311.65,315.0,317.95,302.2,305.0,307.75,308.52,8090,249593040000.0,248,5284,0.6531999999999999
2018-01-29,5PAISA,EQ,307.75,310.0,317.0,309.75,310.0,310.2,310.94,4956,154100070000.0,208,4241,0.8556999999999999
2018-01-30,5PAISA,EQ,310.2,300.2,314.0,295.0,301.9,299.95,304.34,3599,109532745000.0,225,1582,0.4396
2018-01-31,5PAISA,EQ,299.95,295.3,305.0,287.0,291.0,290.2,292.14,9217,269267265000.0,366,7498,0.8135
2018-02-01,5PAISA,EQ,290.2,287.0,304.7,287.0,304.7,304.7,302.42,8463,255941390000.0,310,5230,0.618
2018-02-02,5PAISA,EQ,304.7,317.0,317.0,289.5,289.5,289.5,297.05,8449,250976565000.0,289,6305,0.7462000000000001
2018-02-05,5PAISA,EQ,289.5,275.05,292.0,275.05,288.8,287.7,280.75,8914,250264310000.0,355,4928,0.5528000000000001
