Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-09-17,HAPPSTMNDS,EQ,166.0,350.0,394.95,350.0,371.35,370.95,373.27,52002289,1941099726300000.0,828185,19037078,0.3661
2020-09-18,HAPPSTMNDS,EQ,370.95,376.0,380.95,357.0,357.55,358.7,366.5,10745573,393830374240000.0,216555,3106798,0.2891
2020-09-21,HAPPSTMNDS,EQ,358.7,354.0,374.5,330.3,352.0,349.4,353.29,12520549,442341468505000.0,207865,2729573,0.218
2020-09-22,HAPPSTMNDS,EQ,349.4,350.0,358.6,335.0,354.15,353.95,348.99,4965436,173289543255000.0,86638,974865,0.1963
2020-09-23,HAPPSTMNDS,EQ,353.95,358.2,362.25,343.1,350.5,352.3,352.1,3317622,116812101684999.98,58049,687245,0.2071
2020-09-24,HAPPSTMNDS,EQ,352.3,344.0,349.0,335.0,335.85,337.3,342.41,2954084,101150168915000.0,48672,763494,0.2585
2020-09-25,HAPPSTMNDS,EQ,337.3,342.9,386.0,340.2,363.4,363.4,373.23,15144259,565233271010000.0,280679,2422109,0.15990000000000001
2020-09-28,HAPPSTMNDS,EQ,363.4,368.7,376.4,365.05,365.7,367.1,369.03,2649652,97780738870000.0,47132,617548,0.2331
2020-09-29,HAPPSTMNDS,EQ,367.1,368.45,370.45,348.05,351.95,351.45,355.77,2498180,88877862850000.0,45680,744101,0.2979
2020-09-30,HAPPSTMNDS,EQ,351.45,350.0,365.0,344.1,348.4,348.85,355.46,3896338,138500841930000.0,56521,684339,0.17559999999999998
2020-10-01,HAPPSTMNDS,EQ,348.85,352.9,354.6,340.0,342.5,342.8,346.19,2173939,75260602570000.0,49894,782381,0.35990000000000005
2020-10-05,HAPPSTMNDS,EQ,342.8,345.0,350.7,339.0,345.45,345.5,345.07,1631914,56312204600000.0,36244,443243,0.2716
2020-10-06,HAPPSTMNDS,EQ,345.5,347.0,352.85,343.35,350.5,350.05,349.2,1636249,57137474260000.0,36545,511186,0.3124
2020-10-07,HAPPSTMNDS,EQ,350.05,350.0,351.7,343.1,346.05,345.2,346.55,734115,25441117345000.0,35444,303749,0.41380000000000006
2020-10-08,HAPPSTMNDS,EQ,345.2,350.15,360.8,348.0,356.0,357.3,354.15,2661344,94251373890000.0,45244,861380,0.3237
2020-10-09,HAPPSTMNDS,EQ,357.3,355.0,359.3,350.0,351.25,350.75,353.25,930927,32885192805000.0,22485,304837,0.3275
2020-10-12,HAPPSTMNDS,EQ,350.75,352.0,352.0,342.0,345.0,344.25,346.01,697025,24117948540000.0,25189,354976,0.5093
2020-10-13,HAPPSTMNDS,EQ,344.25,342.95,355.0,342.5,349.6,348.3,349.17,1134594,39616848515000.0,26991,339833,0.2995
2020-10-14,HAPPSTMNDS,EQ,348.3,349.15,365.8,347.3,353.5,354.15,357.88,2421665,86665803185000.0,41593,554858,0.2291
2020-10-15,HAPPSTMNDS,EQ,354.15,350.0,355.8,339.1,340.95,340.6,347.52,3074252,106837374575000.0,60641,2152186,0.7001000000000001
2020-10-16,HAPPSTMNDS,EQ,340.6,343.6,344.5,323.1,325.9,325.45,329.07,2800010,92139363345000.0,88217,1365048,0.4875
2020-10-19,HAPPSTMNDS,EQ,325.45,329.0,330.7,321.65,325.0,324.3,325.16,2021570,65733481515000.0,45128,1237809,0.6123
2020-10-20,HAPPSTMNDS,EQ,324.3,326.4,329.7,323.0,323.7,324.4,326.25,893854,29162103339999.996,25711,273843,0.3064
2020-10-21,HAPPSTMNDS,EQ,324.4,325.55,327.5,317.45,319.45,319.3,322.62,933368,30111994505000.0,26671,432739,0.4636
2020-10-22,HAPPSTMNDS,EQ,319.3,320.25,324.4,318.0,319.95,320.2,321.16,1048553,33675358730000.0,25294,500509,0.4773
2020-10-23,HAPPSTMNDS,EQ,320.2,322.45,323.65,319.0,320.0,319.85,320.43,553293,17729203595000.0,20216,266817,0.4822
2020-10-26,HAPPSTMNDS,EQ,319.85,321.4,323.05,315.1,317.65,317.2,318.74,649362,20697601085000.0,21306,379584,0.5845
2020-10-27,HAPPSTMNDS,EQ,317.2,314.2,315.7,307.0,309.3,308.8,310.54,707501,21970800365000.0,23774,346722,0.4901
2020-10-28,HAPPSTMNDS,EQ,308.8,309.95,329.05,309.0,321.7,320.2,321.16,2039361,65495845245000.01,35137,772203,0.3786
2020-10-29,HAPPSTMNDS,EQ,320.2,318.0,335.6,312.65,333.45,332.15,328.96,2498734,82198225955000.0,45004,584146,0.2338
2020-10-30,HAPPSTMNDS,EQ,332.15,337.5,344.0,322.65,338.5,338.95,335.34,2554683,85667487535000.0,35156,852149,0.3336
2020-11-02,HAPPSTMNDS,EQ,338.95,339.8,344.9,335.25,340.85,340.55,340.83,1406309,47931556425000.0,25199,496818,0.3533
2020-11-03,HAPPSTMNDS,EQ,340.55,343.7,346.0,335.15,337.0,339.3,342.48,1142400,39124361460000.0,20182,514055,0.45
2020-11-04,HAPPSTMNDS,EQ,339.3,338.9,353.0,337.8,350.95,349.85,348.67,2053118,71585963890000.0,39547,623663,0.3038
2020-11-05,HAPPSTMNDS,EQ,349.85,337.25,340.9,326.0,330.2,330.3,332.89,2816514,93758394455000.0,47897,801083,0.28440000000000004
2020-11-06,HAPPSTMNDS,EQ,330.3,330.95,334.8,325.0,326.2,326.05,328.85,941659,30966049480000.0,20101,405914,0.4311
2020-11-09,HAPPSTMNDS,EQ,326.05,330.0,330.0,321.0,322.5,322.1,324.29,830254,26924597660000.004,18549,365735,0.4405
2020-11-10,HAPPSTMNDS,EQ,322.1,321.0,322.5,311.1,312.0,312.05,314.0,1748488,54902952120000.01,39264,1178128,0.6738
2020-11-11,HAPPSTMNDS,EQ,312.05,310.0,321.9,310.0,316.4,315.55,316.4,846524,26783721565000.0,22176,281981,0.3331
2020-11-12,HAPPSTMNDS,EQ,315.55,317.0,322.0,316.0,319.0,318.5,318.61,563757,17961613380000.0,15706,227076,0.40280000000000005
2020-11-13,HAPPSTMNDS,EQ,318.5,318.0,323.85,317.5,321.4,321.1,321.39,442123,14209534944999.998,10276,180032,0.4072
2020-11-14,HAPPSTMNDS,EQ,321.1,324.8,325.5,323.1,325.5,324.55,324.32,254318,8248005930000.0,7755,180358,0.7092
2020-11-17,HAPPSTMNDS,EQ,324.55,327.8,328.7,323.55,324.6,324.8,325.03,447695,14551304760000.0,9886,242808,0.5424
2020-11-18,HAPPSTMNDS,EQ,324.8,324.6,325.5,321.95,323.55,323.45,323.47,347574,11243102860000.0,8626,193717,0.5573
2020-11-19,HAPPSTMNDS,EQ,323.45,321.8,325.8,317.0,318.25,317.85,320.35,680483,21799088065000.0,16940,415470,0.6106
2020-11-20,HAPPSTMNDS,EQ,317.85,318.0,322.65,317.25,320.0,320.55,319.99,510592,16338389119999.998,10002,271037,0.5307999999999999
2020-11-23,HAPPSTMNDS,EQ,320.55,320.55,321.95,314.05,319.1,318.5,318.63,444611,14166503790000.0,11152,210007,0.4723
2020-11-24,HAPPSTMNDS,EQ,318.5,319.9,327.8,319.0,321.4,321.15,323.21,695279,22472316450000.0,16912,249570,0.3589
2020-11-25,HAPPSTMNDS,EQ,321.15,323.5,323.8,317.0,318.5,317.95,320.23,481450,15417682130000.002,11142,253615,0.5268
2020-11-26,HAPPSTMNDS,EQ,317.95,318.25,320.85,310.5,312.2,311.85,313.21,1693248,53033994720000.0,25134,1249451,0.7379000000000001
2020-11-27,HAPPSTMNDS,EQ,311.85,313.8,318.1,312.0,315.0,313.95,314.43,749418,23563790370000.0,17116,324875,0.4335
2020-12-01,HAPPSTMNDS,EQ,313.95,315.7,317.95,314.0,316.0,315.9,316.17,522272,16512855160000.0,12174,239877,0.4593
2020-12-02,HAPPSTMNDS,EQ,315.9,316.9,333.7,316.05,332.95,331.35,328.14,2856086,93720906205000.0,42868,982848,0.34409999999999996
